main_artist,artist_names,art_dict
A$AP Rocky,BlocBoy JB,{'A$AP Rocky': ['BlocBoy JB']}
A$AP Rocky,Gucci Mane - London On Da Track - 21 Savage,"{'A$AP Rocky': [' 21 Savage', ' London On Da Track ', 'Gucci Mane ']}"
A$AP Rocky,FKA twigs,{'A$AP Rocky': ['FKA twigs']}
A$AP Rocky,Imogen Heap - Clams Casino,"{'A$AP Rocky': [' Clams Casino', 'Imogen Heap ']}"
A$AP Rocky,Skepta,{'A$AP Rocky': ['Skepta']}
A-Wall,,{'A-Wall': ['']}
ABBA,,{'ABBA': ['']}
AC/DC,,{'AC/DC': ['']}
ACRAZE,Cherish,{'ACRAZE': ['Cherish']}
AJR,,{'AJR': ['']}
AK AUSSERKONTROLLE,Bonez MC,{'AK AUSSERKONTROLLE': ['Bonez MC']}
AP Dhillon,Gurinder Gill - Intense,"{'AP Dhillon': ['Gurinder Gill ', ' Intense']}"
AP Dhillon,,{'AP Dhillon': ['']}
ATB,Topic - A7S,"{'ATB': ['Topic ', ' A7S']}"
ATLXS,,{'ATLXS': ['']}
AUR,,{'AUR': ['']}
AURORA,,{'AURORA': ['']}
AYLIVA,MERO,{'AYLIVA': ['MERO']}
AYLIVA,Apache 207,{'AYLIVA': ['Apache 207']}
Aaron Carter,,{'Aaron Carter': ['']}
Aaron Smith,Krono - Luvli,"{'Aaron Smith': ['Krono ', ' Luvli']}"
Ab-Soul,James Blake - Anderson .Paak,"{'Ab-Soul': [' Anderson .Paak', 'James Blake ']}"
Abraham Mateo,Christian Daniel - Farruko,"{'Abraham Mateo': [' Farruko', 'Christian Daniel ']}"
Achille Lauro,,{'Achille Lauro': ['']}
Adam Port,Keinemusik - Malachiii - Stryv - Orso,"{'Adam Port': ['Keinemusik ', ' Stryv ', ' Malachiii ', ' Orso']}"
Addison Rae,,{'Addison Rae': ['']}
Adele,,{'Adele': ['']}
Aerosmith,,{'Aerosmith': ['']}
AgroPlay,Ana Castela,{'AgroPlay': ['Ana Castela']}
Agust D,,{'Agust D': ['']}
Agust D,IU,{'Agust D': ['IU']}
Aitana,,{'Aitana': ['']}
Ak4:20,Cris Mj - Pailita,"{'Ak4:20': ['Cris Mj ', ' Pailita']}"
Akon,Eminem,{'Akon': ['Eminem']}
Alan Walker,Digital Farm Animals - Noah Cyrus - Juliander,"{'Alan Walker': [' Juliander', 'Digital Farm Animals ', ' Noah Cyrus ']}"
Alan Walker,,{'Alan Walker': ['']}
Alan Walker,Ava Max,{'Alan Walker': ['Ava Max']}
Alan Walker,Au/Ra - Tomine Harket,"{'Alan Walker': [' Tomine Harket', 'Au/Ra ']}"
Alan Walker,Sophia Somajo,{'Alan Walker': ['Sophia Somajo']}
Alan Walker,Sabrina Carpenter - Farruko,"{'Alan Walker': [' Farruko', 'Sabrina Carpenter ']}"
Alan Walker,Gavin James,{'Alan Walker': ['Gavin James']}
Alec Benjamin,,{'Alec Benjamin': ['']}
Alejo,Feid - ROBI,"{'Alejo': [' ROBI', 'Feid ']}"
Alemn,Neton Vega,{'Alemn': ['Neton Vega']}
Alessandra,,{'Alessandra': ['']}
Alessia Cara,,{'Alessia Cara': ['']}
Alesso,Marshmello - James Bay,"{'Alesso': ['Marshmello ', ' James Bay']}"
Alesso,Anitta,{'Alesso': ['Anitta']}
Alesso,,{'Alesso': ['']}
Alesso,TINI,{'Alesso': ['TINI']}
Alesso,Katy Perry,{'Alesso': ['Katy Perry']}
Alex Favela,Grupo Marca Registrada - Joaquin Medina,"{'Alex Favela': ['Grupo Marca Registrada ', ' Joaquin Medina']}"
Alex Rose,Rafa Pabn,{'Alex Rose': ['Rafa Pabn']}
Alex Rose,Rauw Alejandro,{'Alex Rose': ['Rauw Alejandro']}
Alex Rose,Lyanno - Rauw Alejandro - Lenny Tavrez - Cazzu,"{'Alex Rose': [' Lenny Tavrez ', 'Lyanno ', ' Cazzu', ' Rauw Alejandro ']}"
Alex Sensation,Ozuna,{'Alex Sensation': ['Ozuna']}
Alex Warren,,{'Alex Warren': ['']}
Alexander 23,,{'Alexander 23': ['']}
Ali Gatie,,{'Ali Gatie': ['']}
Alleh,Yorghaki,{'Alleh': ['Yorghaki']}
Alok,Bruno Martini - Zeeba,"{'Alok': ['Bruno Martini ', ' Zeeba']}"
Alok,Mc Don Juan - Dj GBR,"{'Alok': [' Dj GBR', 'Mc Don Juan ']}"
Alonzo,Ninho - Naps,"{'Alonzo': ['Ninho ', ' Naps']}"
Alphaville,,{'Alphaville': ['']}
Alvaro Diaz,Feid,{'Alvaro Diaz': ['Feid']}
Alvaro Diaz,Rauw Alejandro,{'Alvaro Diaz': ['Rauw Alejandro']}
Alvaro Soler,,{'Alvaro Soler': ['']}
Alvaro Soler,Flo Rida - TINI,"{'Alvaro Soler': ['Flo Rida ', ' TINI']}"
Amaarae,Moliy - Kali Uchis,"{'Amaarae': ['Moliy ', ' Kali Uchis']}"
Amenazzy,Nicky Jam - Farruko,"{'Amenazzy': [' Farruko', 'Nicky Jam ']}"
Amin,,{'Amin': ['']}
Amy Grant,,{'Amy Grant': ['']}
Amy Winehouse,,{'Amy Winehouse': ['']}
Ana Castela,Dj Chris No Beat - Melody,"{'Ana Castela': ['Dj Chris No Beat ', ' Melody']}"
Ana Castela,,{'Ana Castela': ['']}
Anderson .Paak,Kendrick Lamar,{'Anderson .Paak': ['Kendrick Lamar']}
Andmesh,,{'Andmesh': ['']}
Andy Grammer,,{'Andy Grammer': ['']}
Andy Williams,,{'Andy Williams': ['']}
Angelina Mango,,{'Angelina Mango': ['']}
Anggi Marito,,{'Anggi Marito': ['']}
Anirudh Ravichander,Arijit Singh - Shilpa Rao,"{'Anirudh Ravichander': ['Arijit Singh ', ' Shilpa Rao']}"
Anirudh Ravichander,Arijit Singh - Kumaar - Shilpa Rao,"{'Anirudh Ravichander': ['Arijit Singh ', ' Kumaar ', ' Shilpa Rao']}"
Anirudh Ravichander,Super Subu,{'Anirudh Ravichander': ['Super Subu']}
Anitta,,{'Anitta': ['']}
Anitta,Lexa - Rebecca - Lusa Sonza,"{'Anitta': [' Rebecca ', 'Lexa ', ' Lusa Sonza']}"
Anitta,J Balvin,{'Anitta': ['J Balvin']}
Anitta,Myke Towers - Cardi B,"{'Anitta': [' Cardi B', 'Myke Towers ']}"
Anitta,MC Kevinho,{'Anitta': ['MC Kevinho']}
Anitta,Tropkillaz - Maejor - DJ Yuri Martins - ZAAC,"{'Anitta': [' Maejor ', ' ZAAC', 'Tropkillaz ', ' DJ Yuri Martins ']}"
Annalisa,,{'Annalisa': ['']}
Anne-Marie,,{'Anne-Marie': ['']}
Anne-Marie,Digital Farm Animals - KSI,"{'Anne-Marie': [' KSI', 'Digital Farm Animals ']}"
Anne-Marie,Little Mix,{'Anne-Marie': ['Little Mix']}
Anne-Marie,Niall Horan,{'Anne-Marie': ['Niall Horan']}
AnnenMayKantereit,Giant Rooks,{'AnnenMayKantereit': ['Giant Rooks']}
Ant Saunders,,{'Ant Saunders': ['']}
Anuel AA,Haze,{'Anuel AA': ['Haze']}
Anuel AA,Ozuna,{'Anuel AA': ['Ozuna']}
Anuel AA,KAROL G - Ozuna - J Balvin - Daddy Yankee,"{'Anuel AA': [' J Balvin ', ' Ozuna ', 'KAROL G ', ' Daddy Yankee']}"
Anuel AA,KAROL G - Ozuna - J Balvin - Daddy Yankee,"{'Anuel AA': [' J Balvin ', ' Ozuna ', 'KAROL G ', ' Daddy Yankee']}"
Anuel AA,,{'Anuel AA': ['']}
Anuel AA,Romeo Santos,{'Anuel AA': ['Romeo Santos']}
Anuel AA,Enrique Iglesias,{'Anuel AA': ['Enrique Iglesias']}
Anuel AA,Bad Bunny,{'Anuel AA': ['Bad Bunny']}
Anuel AA,Zion,{'Anuel AA': ['Zion']}
Anuel AA,Tego Caldern,{'Anuel AA': ['Tego Caldern']}
Anuel AA,Mambo Kingz - DJ Luian,"{'Anuel AA': ['Mambo Kingz ', ' DJ Luian']}"
Anuel AA,Mambo Kingz - DJ Luian,"{'Anuel AA': ['Mambo Kingz ', ' DJ Luian']}"
Anuel AA,Mambo Kingz - Quevedo - Maluma - DJ Luian,"{'Anuel AA': [' DJ Luian', ' Quevedo ', ' Maluma ', 'Mambo Kingz ']}"
Anuel AA,Myke Towers - Jhay Cortez,"{'Anuel AA': [' Jhay Cortez', 'Myke Towers ']}"
Anuel AA,Myke Towers - Jhayco,"{'Anuel AA': ['Myke Towers ', ' Jhayco']}"
Anuel AA,KAROL G,{'Anuel AA': ['KAROL G']}
