source,streams,count_main_artist,count_track_name
THEUNS JORDAAN PRODUCTIONS CC,26921,1,1
FAX Records/Epic,466587,1,1
Kreativekornerr,3015639,1,2
Vhudie Music,24210,1,1
The Plug Entertainment,175866,1,1
"Encore Recordings, LLC",36073,1,1
Rinse,125410,1,2
Muthaland Entertainment,20660,1,1
CYPHA / MUTHALAND,14939,1,1
Island Records,7398315,7,22
BMG Rights Management (US) LLC,2417313,4,27
Zain's World,492326,1,1
Live Rich Entertainment,642586,1,1
Steyn Entertainment,89402,1,3
Earthquake records,81368,1,1
Mguzuguzu Records,26596,1,1
