source,streams
RUBBERBVNDGVNG,1008901
TSNMI / Atlantic,992563
Getting Out Our Dreams II / Def Jam Recordings,980066
ICY/Warner Records,956022
RCA Records Label Nashville,955782
Neighbourhood,952683
Bad Boy/Interscope Records,918976
Perfect Havoc / Asylum Records,915995
4374710 Records DK,903002
Rocka Empire,897303
Mavin Records/Jonzing World,896543
Metallic Music/1789,857336
Vth Season/18 Area Holdings,853628
143/Reprise,847657
2018,843467
Not specified,835988
Parlophone (France),808740
Syco Music,802208
Photo Finish Records,791478
Soweto Music & Entertainment Academy,789933
Roc Nation/Def Jam/Hollywood,783580
Lost Kids,773847
Mavin Records,731436
Roc Nation W Smith P&D,730718
Friends Keep Secrets/Def Jam Recordings/Interscope Records,726123
Dave / Neighbourhood Recordings,724074
"Three Name Productions, Inc./ Island Records & Republic Records",721389
Silver Merci,714877
MER Recordings,690072
CJ Music Group/T-Series,689098
1713874 Records DK,686818
10 Summers / Interscope PS,670400
"Legendbound, LLC / Def Jam Recordings",665338
"EP Entertainment, LLC / Def Jam",659431
A$AP Worldwide/Polo Grounds Music/RCA Records,656700
Live Rich Entertainment,642586
Umuthi Othi Thi (Pty) Ltd,641849
Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,626478
Roc Nation / Rihanna,626401
Pushkin and Springle,612530
Side Hustle,599791
Winnkay Music,583374
TGR Music Group,582126
Masterworks,576598
Highbridge the Label / Atlantic Records,574223
Selena Gomez PS,573329
Dreamville/Interscope Records,566594
Walt Disney Records,565532
Elevation Worship Records,565201
"DJ Snake Music Productions Limited, under exclusive license to Geffen Records",560996
Rhino/Warner Records,558644
"Slaughter Gang, LLC/Epic Records",555065
Benny Blanco Solo Album PS,554707
A&M,552956
"Scumgang Records/TenThousand Projects, LLC",552102
5 Seconds Of Summer/Interscope,547226
"Young Money Records, Inc.",545650
Geffen,542177
Red Zone Entertainment / IDJ,537546
Scumgang Records,536629
0207 Def Jam,535211
Feel Good Music,534663
Joytime Collective,528873
eMtee Records,525509
JVKE,524913
Young Money/Cash Money Records,523763
Beam Group,520348
Yano World,518908
ByStorm Entertainment/RCA Records,514377
Jozi Entertainment,511822
Universal Music (Pty) Ltd. Distribution Deals,506675
Sony Music UK,505152
Range Music/Capitol Records,501928
J. Cole P&D,500324
EMI / Interscope,497092
Glassnote Entertainment Group LLC,496542
Wa Wa/EMEXTEE,495682
Zain's World,492326
Twenty Nine Music Group,491017
Toss Indabakabani,490429
Epic/Record Company TEN,486187
1400 Entertainment / 10K Projects,485294
Black Panther (TDE/DMG) PS,472353
ALTBLK (Oneshushuday),469832
"Quality Control Music, LLC",469825
FAX Records/Epic,466587
Revenge Club Records,465315
Columbia/Legacy,460472
Quality Control/Motown Records,460075
AWGE/Interscope Records,439687
WM Italy,437109
Born In Soweto/House Afrika/De Mthuda & Njelic,435778
P2019,435358
Lyf Styl Entertainment,412220
MCA Nashville,401308
Palm Tree Records/RCA Records,401214
ESK MUSIQ,395572
OuttaThisWorld,394092
Red Bull Records Inc. / Evgle LLC,392397
"100 Entertainment, Inc",388497
Atlantic Records/ATG,387542
Eye 'N See Entertainment,380757
One Umbrella Records,373111
Golden Child Recordings,368452
Guwop Enterprises/Atlantic,368319
Jnr Choi/Epic,367330
8123 / Arista Records,366532
FAMM,360235
Cactus Jack / WeRunIt Ent. / Atlantic,353804
10:22 pm,353044
"Zelig Records, LLC./Columbia Records",348093
Hollywood Records,343434
Ziiki Media,334771
NITRON music,334736
Commission/BMG,334367
Legacy Recordings,330908
EQT Recordings/Capitol Records,328472
Music World Music/Columbia,322092
Fueled By Ramen,321489
BPG/RVG/RCA Records,320234
Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,315754
CMG/Interscope Records,313887
"Republic Records/Moon Projects, LLC.",311690
Sir Trill Music,301114
Centricity Music/Warner Records,300655
Wolf+Rothstein/RCA Records,295768
Internet Money / 10K Projects,295022
EMPIRE,291506
Boohle Music,287036
Boys Don't Cry,285362
Domino Recording Co,280922
Musical Freedom,271190
Balcony Mix Africa,268316
King Monada Music,265966
Field Trip Recordings/Geffen Records,259474
Atlantic Records/Asylum,259311
1211 Group,257814
"Big Machine Records, LLC",256343
"Homemade Projects, LLC / TenThousand Projects",256035
RichFish/Columbia,255747
Flourish and Multiply,251381
Fyve,250340
Blacko Management / EMPIRE,249196
Capitol Records (US1A),247677
TAYO Projects / The T Effect,245823
Blaqwav ENT.,244370
Roc-A-Fella,242609
S-Curve Records,241581
OVO Sound,241185
P2020,240870
New Wav Music Group / Island Prolific / EMPIRE,240709
Black Butter,240491
Top Dawg Entertainment/Warner Records,238003
Sony Music Latin,235433
NEON16/Friends Keep Secrets/Interscope Records,232376
Fifth Amendment Entertainment/eOne Music,229769
Surf Curse,229375
Bigcitydreams Records,229266
Leola LLC,227657
DJs Production,227182
Silver Cloud/Charlie's Angels,227174
Atlantic/Sniper Gang,226744
Lost kids,224975
Relentless Records,224315
Cyfred Records,221710
Mosley / Interscope,220765
Mad Love/Interscope Records,219082
P2018,218427
Roc Nation LLC,218035
Doomshop Records/RCA Records,216933
Nineleven Music,216087
Mostiko,213637
JazziDisciples ENT,213029
SCMG / SCE / EMPIRE,212781
Sony Music Entertainment,212369
Ultra Records,208070
Rhino,207702
DJ Snake Music Productions Limited,207353
Mawhoo,206274
Rare Breed Entertainment,206047
Titch Gang Records,202819
Top Dawg Entertainment/Interscope Records,200793
Jay O Records,197363
Hooch Entertainment Group/Hooch Events,196152
De Disciple Records,191362
Cinematic/Epic/We The Best,186543
Bad Boy / Interscope,186220
ICY/Artistry Records/Warner Records,179216
Rich The Kid / (TDE/ISR PS),178453
"1400 Entertainment, Inc. / 10K Projects",177577
Murumba Pitch,176781
The Plug Entertainment,175866
Winners Circle Entertainment Inc / EMPIRE,174784
Matjita Ent/Amana ka! Music,168971
Mom+Pop,168765
VS Mobile,165387
YEAR0001,164838
Decaydance/Fueled By Ramen,164807
"UMG Recordings, Inc.",163072
Independent,162430
1020 Cartel,160056
Matiwane Records (PTY) LTD,158719
Kemosabe / RCA Records / Last Kings Music / EMPIRE,155379
