,,trackAppearanceCount,trackAppearanceCount,trackAppearanceCount,trackAppearanceCount,artistAppearanceCount,artistAppearanceCount,artistAppearanceCount,artistAppearanceCount,rank,rank,rank,rank,uri,uri,uri,uri,artist_names,artist_names,artist_names,artist_names,source,source,source,source,peak_rank,peak_rank,peak_rank,peak_rank,previous_rank,previous_rank,previous_rank,previous_rank,weeks_on_chart,weeks_on_chart,weeks_on_chart,weeks_on_chart,streams,streams,streams,streams,End Date,End Date,End Date,End Date,Week,Week,Week,Week,Year,Year,Year,Year,End Date Dt,End Date Dt,End Date Dt,End Date Dt,Seconds since Epoch,Seconds since Epoch,Seconds since Epoch,Seconds since Epoch,End Date Aggregated,End Date Aggregated,End Date Aggregated,End Date Aggregated,ArtistCount,ArtistCount,ArtistCount,ArtistCount,isTopTen,isTopTen,isTopTen,isTopTen,Artist and Track,Artist and Track,Artist and Track,Artist and Track,rank difference,rank difference,rank difference,rank difference,Position over Time,Position over Time,Position over Time,Position over Time,IsGirlGroup,IsGirlGroup,IsGirlGroup,IsGirlGroup,IsBoyGroup,IsBoyGroup,IsBoyGroup,IsBoyGroup
,,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique
main_artist,track_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,PROBLEMATIC,0,0,1,1,12,12,1,1,132,132,1,1,spotify:track:5GtUTcvOx52F5648wXQfc7,spotify:track:5GtUTcvOx52F5648wXQfc7,1,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",1,1,Ye,Ye,1,1,132,132,1,1,-1,-1,1,1,1,1,1,1,76166,76166,1,1,2024-02-15,2024-02-15,1,1,7,7,1,1,2024,2024,1,1,2024-02-15,2024-02-15,1,1,1707955200.0,1707955200.0,1,1,2024-02-01,2024-02-01,1,1,1,1,1,1,0,0,1,1,"$, Kanye West, Ty Dolla $ign; PROBLEMATIC","$, Kanye West, Ty Dolla $ign; PROBLEMATIC",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
$,STARS,0,1,2,2,1,16,2,2,30,103,2,2,spotify:track:347AQK5Lyhn6RvB8tBGYxt,spotify:track:347AQK5Lyhn6RvB8tBGYxt,2,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",2,1,Ye,Ye,2,1,30,30,2,1,-1,30,2,2,1,2,2,2,82463,143990,2,2,2024-02-15,2024-02-22,2,2,7,8,2,2,2024,2024,2,1,2024-02-15,2024-02-22,2,2,1707955200.0,1708560000.0,2,2,2024-02-01,2024-02-01,2,1,1,1,2,1,0,0,2,1,"$, Kanye West, Ty Dolla $ign; STARS","$, Kanye West, Ty Dolla $ign; STARS",2,1,0,73,2,2,0,100,2,2,False,False,2,1,False,False,2,1
$,TALKING,0,1,2,2,2,19,2,2,31,183,2,2,spotify:track:1eaqMiiUn2P7MnqJK4XeK0,spotify:track:1eaqMiiUn2P7MnqJK4XeK0,2,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",2,1,Ye,Ye,2,1,31,31,2,1,-1,31,2,2,1,2,2,2,66184,143905,2,2,2024-02-15,2024-02-22,2,2,7,8,2,2,2024,2024,2,1,2024-02-15,2024-02-22,2,2,1707955200.0,1708560000.0,2,2,2024-02-01,2024-02-01,2,1,1,1,2,1,0,0,2,1,"$, Kanye West, Ty Dolla $ign; TALKING","$, Kanye West, Ty Dolla $ign; TALKING",2,1,0,152,2,2,0,100,2,2,False,False,2,1,False,False,2,1
$,VULTURES,0,0,1,1,9,9,1,1,83,83,1,1,spotify:track:3SIRBp4RRQ2AO5H4NO7xfq,spotify:track:3SIRBp4RRQ2AO5H4NO7xfq,1,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",1,1,Ye,Ye,1,1,83,83,1,1,-1,-1,1,1,1,1,1,1,91357,91357,1,1,2024-02-15,2024-02-15,1,1,7,7,1,1,2024,2024,1,1,2024-02-15,2024-02-15,1,1,1707955200.0,1707955200.0,1,1,2024-02-01,2024-02-01,1,1,1,1,1,1,0,0,1,1,"$, Kanye West, Ty Dolla $ign; VULTURES","$, Kanye West, Ty Dolla $ign; VULTURES",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
21 Savage,1.5,0,0,1,1,19,19,1,1,195,195,1,1,spotify:track:2wOXxtHZgRkkrkEbKLzzqs,spotify:track:2wOXxtHZgRkkrkEbKLzzqs,1,1,21 Savage,21 Savage,1,1,"Slaughter Gang, LLC/Epic Records","Slaughter Gang, LLC/Epic Records",1,1,195,195,1,1,-1,-1,1,1,1,1,1,1,6469,6469,1,1,2018-12-27,2018-12-27,1,1,52,52,1,1,2018,2018,1,1,2018-12-27,2018-12-27,1,1,1545868800.0,1545868800.0,1,1,2018-12-01,2018-12-01,1,1,1,1,1,1,0,0,1,1,21 Savage; 1.5,21 Savage; 1.5,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
21 Savage,3AM on Glenwood,0,2,3,3,97,100,3,3,23,200,3,3,spotify:track:1MTXYvJ9TSqg9x6WPCDx2n,spotify:track:1MTXYvJ9TSqg9x6WPCDx2n,3,1,21 Savage,21 Savage,3,1,OVO / Republic Records,OVO / Republic Records,3,1,23,23,3,1,-1,78,3,3,1,3,3,3,32521,137285,3,3,2022-11-10,2022-11-24,3,3,45,47,3,3,2022,2022,3,1,2022-11-10,2022-11-24,3,3,1668038400.0,1669248000.0,3,3,2022-11-01,2022-11-01,3,1,1,1,3,1,0,0,3,1,21 Savage; 3AM on Glenwood,21 Savage; 3AM on Glenwood,3,1,0,122,3,3,0,100,3,2,False,False,3,1,False,False,3,1
21 Savage,Bank Account,0,13,14,14,0,13,14,14,53,190,14,12,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,14,1,21 Savage,21 Savage,14,1,"Slaughter Gang, LLC/Epic Records","Slaughter Gang, LLC/Epic Records",14,1,53,57,14,2,-1,167,14,11,1,14,14,14,1349,4780,14,14,2018-03-15,2018-07-05,14,14,11,27,14,14,2018,2018,14,1,2018-03-15,2018-07-05,14,14,1521072000.0,1530748800.0,14,14,2018-03-01,2018-07-01,14,5,1,1,14,1,0,0,14,1,21 Savage; Bank Account,21 Savage; Bank Account,14,1,-27,31,14,12,0,100,14,4,False,False,14,1,False,False,14,1
21 Savage,Brand New Draco,0,0,1,1,67,67,1,1,122,122,1,1,spotify:track:4V9ynsDPwHtdItksqjuRu0,spotify:track:4V9ynsDPwHtdItksqjuRu0,1,1,"21 Savage, Metro Boomin","21 Savage, Metro Boomin",1,1,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",1,1,122,122,1,1,-1,-1,1,1,1,1,1,1,20835,20835,1,1,2020-10-08,2020-10-08,1,1,41,41,1,1,2020,2020,1,1,2020-10-08,2020-10-08,1,1,1602115200.0,1602115200.0,1,1,2020-10-01,2020-10-01,1,1,1,1,1,1,0,0,1,1,"21 Savage, Metro Boomin; Brand New Draco","21 Savage, Metro Boomin; Brand New Draco",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
21 Savage,Glock In My Lap,0,32,33,33,59,130,33,33,38,200,33,27,spotify:track:6pcywuOeGGWeOQzdUyti6k,spotify:track:6pcywuOeGGWeOQzdUyti6k,33,1,"21 Savage, Metro Boomin","21 Savage, Metro Boomin",33,1,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",33,1,38,38,33,1,-1,192,33,25,1,33,33,33,17138,58817,33,33,2020-10-08,2023-08-10,33,33,4,49,33,33,2020,2023,33,3,2020-10-08,2023-08-10,33,33,1602115200.0,1691625600.0,33,33,2020-10-01,2023-08-01,33,11,1,1,33,1,0,0,33,1,"21 Savage, Metro Boomin; Glock In My Lap","21 Savage, Metro Boomin; Glock In My Lap",33,1,-25,109,33,23,0,100,33,4,False,False,33,1,False,False,33,1
21 Savage,Immortal,0,1,2,2,55,56,2,2,128,200,2,2,spotify:track:4IO8X9W69dIQe0EC5ALXhq,spotify:track:4IO8X9W69dIQe0EC5ALXhq,2,1,21 Savage,21 Savage,2,1,"Slaughter Gang, LLC/Epic Records","Slaughter Gang, LLC/Epic Records",2,1,128,128,2,1,-1,128,2,2,1,2,2,2,9448,12982,2,2,2019-11-07,2019-11-14,2,2,45,46,2,2,2019,2019,2,1,2019-11-07,2019-11-14,2,2,1573084800.0,1573689600.0,2,2,2019-11-01,2019-11-01,2,1,1,1,2,1,0,0,2,1,21 Savage; Immortal,21 Savage; Immortal,2,1,0,72,2,2,0,100,2,2,False,False,2,1,False,False,2,1
