,,trackAppearanceCount,trackAppearanceCount,trackAppearanceCount,trackAppearanceCount,artistAppearanceCount,artistAppearanceCount,artistAppearanceCount,artistAppearanceCount,rank,rank,rank,rank,uri,uri,uri,uri,artist_names,artist_names,artist_names,artist_names,source,source,source,source,peak_rank,peak_rank,peak_rank,peak_rank,previous_rank,previous_rank,previous_rank,previous_rank,weeks_on_chart,weeks_on_chart,weeks_on_chart,weeks_on_chart,streams,streams,streams,streams,End Date,End Date,End Date,End Date,Week,Week,Week,Week,Year,Year,Year,Year,End Date Dt,End Date Dt,End Date Dt,End Date Dt,Seconds since Epoch,Seconds since Epoch,Seconds since Epoch,Seconds since Epoch,End Date Aggregated,End Date Aggregated,End Date Aggregated,End Date Aggregated,ArtistCount,ArtistCount,ArtistCount,ArtistCount,isTopTen,isTopTen,isTopTen,isTopTen,Artist and Track,Artist and Track,Artist and Track,Artist and Track,rank difference,rank difference,rank difference,rank difference,Position over Time,Position over Time,Position over Time,Position over Time,IsGirlGroup,IsGirlGroup,IsGirlGroup,IsGirlGroup,IsBoyGroup,IsBoyGroup,IsBoyGroup,IsBoyGroup
,,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique
main_artist,track_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariana Grande,34+35,0,26,27,27,412,513,27,27,18,190,27,22,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,27,1,Ariana Grande,Ariana Grande,27,1,Republic Records,Republic Records,27,1,18,18,27,1,-1,168,27,22,1,27,27,27,18213,47903,27,27,2020-11-05,2021-05-06,27,27,1,53,27,27,2020,2021,27,2,2020-11-05,2021-05-06,27,27,1604534400.0,1620259200.0,27,27,2020-11-01,2021-05-01,27,7,1,1,27,1,0,0,27,1,Ariana Grande; 34+35,Ariana Grande; 34+35,27,1,-21,36,27,21,0,100,27,4,False,False,27,1,False,False,27,1
Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",0,2,3,3,470,493,3,3,42,199,3,3,spotify:track:2sQH02O2HBCPJCztBrCWNa,spotify:track:3jjBPF4NDMCU51psU8JPpR,3,2,"Ariana Grande, Doja Cat, Megan Thee Stallion","Ariana Grande, Doja Cat, Megan Thee Stallion",3,1,Republic Records,Republic Records,3,1,42,42,3,1,-1,42,3,2,1,3,3,3,17097,34822,3,3,2021-01-21,2021-02-25,3,3,3,8,3,3,2021,2021,3,1,2021-01-21,2021-02-25,3,3,1611187200.0,1614211200.0,3,3,2021-01-01,2021-02-01,3,2,2,2,3,1,0,0,3,1,"Ariana Grande, Doja Cat, Megan Thee Stallion; 34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion; 34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",3,1,0,108,3,3,0,100,3,2,False,False,3,1,False,False,3,1
Ariana Grande,7 rings,0,83,84,84,123,400,84,84,1,194,84,64,spotify:track:14msK75pk3pA33pzPVNtBF,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,84,2,Ariana Grande,Ariana Grande,84,1,Republic Records,Republic Records,84,1,1,1,84,1,-1,194,84,64,1,84,84,84,12770,61983,84,83,2019-01-24,2020-08-27,84,84,1,52,84,52,2019,2020,84,2,2019-01-24,2020-08-27,84,84,1548288000.0,1598486400.0,84,84,2019-01-01,2020-08-01,84,20,1,1,84,1,1,1,84,1,Ariana Grande; 7 rings,Ariana Grande; 7 rings,84,1,-39,34,84,35,0,100,84,4,False,False,84,1,False,False,84,1
Ariana Grande,Bad To You (with Normani & Nicki Minaj),0,1,2,2,319,324,2,2,54,93,2,2,spotify:track:7vJS1DPc3FzBtqBs8n3mW5,spotify:track:7vJS1DPc3FzBtqBs8n3mW5,2,1,"Ariana Grande, Normani, Nicki Minaj","Ariana Grande, Normani, Nicki Minaj",2,1,Silver Cloud/Charlie's Angels,Silver Cloud/Charlie's Angels,2,1,54,54,2,1,-1,54,2,2,1,2,2,2,14871,20329,2,2,2019-11-07,2019-11-14,2,2,45,46,2,2,2019,2019,2,1,2019-11-07,2019-11-14,2,2,1573084800.0,1573689600.0,2,2,2019-11-01,2019-11-01,2,1,1,1,2,1,0,0,2,1,"Ariana Grande, Normani, Nicki Minaj; Bad To You (with Normani & Nicki Minaj)","Ariana Grande, Normani, Nicki Minaj; Bad To You (with Normani & Nicki Minaj)",2,1,0,39,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Ariana Grande,Dont Call Me Angel (Charlies Angels) (with Miley Cyrus & Lana Del Rey),0,8,9,9,291,327,9,9,11,169,9,9,spotify:track:3NkJNL3WqO1Lqc3uNDxvCN,spotify:track:6zegtH6XXd2PDPLvy1Y0n2,9,2,"Ariana Grande, Miley Cyrus, Lana Del Rey","Ariana Grande, Miley Cyrus, Lana Del Rey",9,1,Silver Cloud/Charlie's Angels,Silver Cloud/Charlie's Angels,9,1,11,11,9,1,-1,148,9,9,1,9,9,9,10315,41561,9,9,2019-09-19,2019-11-14,9,9,38,46,9,9,2019,2019,9,1,2019-09-19,2019-11-14,9,9,1568851200.0,1573689600.0,9,9,2019-09-01,2019-11-01,9,3,1,1,9,1,0,0,9,1,"Ariana Grande, Miley Cyrus, Lana Del Rey; Dont Call Me Angel (Charlies Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande, Miley Cyrus, Lana Del Rey; Dont Call Me Angel (Charlies Angels) (with Miley Cyrus & Lana Del Rey)",9,1,0,50,9,9,0,100,9,2,False,False,9,1,False,False,9,1
Ariana Grande,God is a woman,0,28,29,29,13,155,29,29,8,200,29,28,spotify:track:5OCJzvD7sykQEKHH7qAC3C,spotify:track:7gkWXbAxIYuvtOpcN3p9GJ,29,2,Ariana Grande,Ariana Grande,29,1,Republic Records,Republic Records,29,1,8,8,29,1,-1,197,29,26,1,29,29,29,5622,18745,29,29,2018-07-19,2019-02-14,29,29,1,51,29,29,2018,2019,29,2,2018-07-19,2019-02-14,29,29,1531958400.0,1550102400.0,29,29,2018-07-01,2019-02-01,29,8,1,1,29,1,1,1,29,1,Ariana Grande; God is a woman,Ariana Grande; God is a woman,29,1,-31,35,29,22,0,100,29,4,False,False,29,1,False,False,29,1
Ariana Grande,MONOPOLY (with Victoria Mont),0,4,5,5,199,218,5,5,34,151,5,5,spotify:track:6tsOcBnaKgzK22yEiqRh8P,spotify:track:6tsOcBnaKgzK22yEiqRh8P,5,1,"Ariana Grande, Victoria Mont","Ariana Grande, Victoria Mont",5,1,Republic Records,Republic Records,5,1,34,151,5,2,-1,151,5,5,1,5,5,5,8023,19329,5,5,2019-04-04,2019-05-02,5,5,14,18,5,5,2019,2019,5,1,2019-04-04,2019-05-02,5,5,1554336000.0,1556755200.0,5,5,2019-04-01,2019-05-01,5,2,1,1,5,1,0,0,5,1,"Ariana Grande, Victoria Mont; MONOPOLY (with Victoria Mont)","Ariana Grande, Victoria Mont; MONOPOLY (with Victoria Mont)",5,1,-117,63,5,5,0,100,5,3,False,False,5,1,False,False,5,1
Ariana Grande,NASA,0,2,3,3,146,175,3,3,33,136,3,3,spotify:track:4SPu0Ql902hTVXkBoNIYtq,spotify:track:4SPu0Ql902hTVXkBoNIYtq,3,1,Ariana Grande,Ariana Grande,3,1,Republic Records,Republic Records,3,1,33,33,3,1,-1,76,3,3,1,3,3,3,8603,20449,3,3,2019-02-14,2019-02-28,3,3,7,9,3,3,2019,2019,3,1,2019-02-14,2019-02-28,3,3,1550102400.0,1551312000.0,3,3,2019-02-01,2019-02-01,3,1,1,1,3,1,0,0,3,1,Ariana Grande; NASA,Ariana Grande; NASA,3,1,0,60,3,3,0,100,3,2,False,False,3,1,False,False,3,1
Ariana Grande,One Last Time,0,0,1,1,128,128,1,1,173,173,1,1,spotify:track:1CAksvEO6oRHd9bBKWAfuY,spotify:track:1CAksvEO6oRHd9bBKWAfuY,1,1,Ariana Grande,Ariana Grande,1,1,Universal Records,Universal Records,1,1,173,173,1,1,-1,-1,1,1,1,1,1,1,6790,6790,1,1,2019-01-24,2019-01-24,1,1,4,4,1,1,2019,2019,1,1,2019-01-24,2019-01-24,1,1,1548288000.0,1548288000.0,1,1,2019-01-01,2019-01-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; One Last Time,Ariana Grande; One Last Time,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,R.E.M,0,0,1,1,27,27,1,1,48,48,1,1,spotify:track:1xWH8zYtDeS9mW1JJG23VZ,spotify:track:1xWH8zYtDeS9mW1JJG23VZ,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,48,48,1,1,-1,-1,1,1,1,1,1,1,8693,8693,1,1,2018-08-23,2018-08-23,1,1,34,34,1,1,2018,2018,1,1,2018-08-23,2018-08-23,1,1,1534982400.0,1534982400.0,1,1,2018-08-01,2018-08-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; R.E.M,Ariana Grande; R.E.M,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,Santa Baby,0,1,2,2,104,345,2,2,68,128,2,2,spotify:track:6YJdPrH3i2POzu7hdHIRrb,spotify:track:6YJdPrH3i2POzu7hdHIRrb,2,1,"Ariana Grande, Liz Gillies","Ariana Grande, Liz Gillies",2,1,Universal Records,Universal Records,2,1,68,68,2,1,-1,-1,2,1,1,2,2,2,12655,16307,2,2,2018-12-27,2019-12-26,2,2,52,52,2,1,2018,2019,2,2,2018-12-27,2019-12-26,2,2,1545868800.0,1577318400.0,2,2,2018-12-01,2019-12-01,2,2,1,1,2,1,0,0,2,1,"Ariana Grande, Liz Gillies; Santa Baby","Ariana Grande, Liz Gillies; Santa Baby",2,1,0,60,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Ariana Grande,Santa Tell Me,0,17,18,18,89,539,18,18,7,194,18,17,spotify:track:0lizgQ7Qw35od7CYaoMBZb,spotify:track:0lizgQ7Qw35od7CYaoMBZb,18,1,Ariana Grande,Ariana Grande,18,1,Universal Records,Universal Records,18,1,7,115,18,3,-1,194,18,13,1,18,18,18,7523,174518,18,18,2018-12-06,2023-12-28,18,18,49,53,18,5,2018,2023,18,6,2018-12-06,2023-12-28,18,18,1544054400.0,1703721600.0,18,18,2018-12-01,2023-12-01,18,6,1,1,18,1,1,1,18,1,Ariana Grande; Santa Tell Me,Ariana Grande; Santa Tell Me,18,1,-142,171,18,18,0,100,18,3,False,False,18,1,False,False,18,1
Ariana Grande,Stuck with U (with Justin Bieber),0,36,37,37,369,492,37,37,8,196,37,32,spotify:track:4HBZA5flZLE435QTztThqH,spotify:track:4HBZA5flZLE435QTztThqH,37,1,"Ariana Grande, Justin Bieber","Ariana Grande, Justin Bieber",37,1,"Ariana Grande & Justin Bieber ""Stuck With U""- Charity","Ariana Grande & Justin Bieber ""Stuck With U""- Charity",37,1,8,8,37,1,-1,196,37,30,1,37,37,37,15978,53954,37,37,2020-05-14,2021-02-25,37,37,1,50,37,37,2020,2021,37,2,2020-05-14,2021-02-25,37,37,1589414400.0,1614211200.0,37,37,2020-05-01,2021-02-01,37,10,1,1,37,1,1,1,37,1,"Ariana Grande, Justin Bieber; Stuck with U (with Justin Bieber)","Ariana Grande, Justin Bieber; Stuck with U (with Justin Bieber)",37,1,-26,34,37,28,0,100,37,4,False,False,37,1,False,False,37,1
Ariana Grande,bad idea,0,2,3,3,144,172,3,3,23,80,3,3,spotify:track:7EQpvVujgytLVY8vKiDHAg,spotify:track:7EQpvVujgytLVY8vKiDHAg,3,1,Ariana Grande,Ariana Grande,3,1,Republic Records,Republic Records,3,1,23,23,3,1,-1,53,3,3,1,3,3,3,11342,22401,3,3,2019-02-14,2019-02-28,3,3,7,9,3,3,2019,2019,3,1,2019-02-14,2019-02-28,3,3,1550102400.0,1551312000.0,3,3,2019-02-01,2019-02-01,3,1,1,1,3,1,0,0,3,1,Ariana Grande; bad idea,Ariana Grande; bad idea,3,1,0,30,3,3,0,100,3,2,False,False,3,1,False,False,3,1
Ariana Grande,better off,0,0,1,1,34,34,1,1,131,131,1,1,spotify:track:3NbTQ8ZbHU6MSEVUFAVCJ9,spotify:track:3NbTQ8ZbHU6MSEVUFAVCJ9,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,131,131,1,1,-1,-1,1,1,1,1,1,1,4897,4897,1,1,2018-08-23,2018-08-23,1,1,34,34,1,1,2018,2018,1,1,2018-08-23,2018-08-23,1,1,1534982400.0,1534982400.0,1,1,2018-08-01,2018-08-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; better off,Ariana Grande; better off,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,blazed (feat. Pharrell Williams),0,0,1,1,35,35,1,1,134,134,1,1,spotify:track:4mLkiFppf8Xvem6BSY34qw,spotify:track:4mLkiFppf8Xvem6BSY34qw,1,1,"Ariana Grande, Pharrell Williams","Ariana Grande, Pharrell Williams",1,1,Republic Records,Republic Records,1,1,134,134,1,1,-1,-1,1,1,1,1,1,1,4849,4849,1,1,2018-08-23,2018-08-23,1,1,34,34,1,1,2018,2018,1,1,2018-08-23,2018-08-23,1,1,1534982400.0,1534982400.0,1,1,2018-08-01,2018-08-01,1,1,2,2,1,1,0,0,1,1,"Ariana Grande, Pharrell Williams; blazed (feat. Pharrell Williams)","Ariana Grande, Pharrell Williams; blazed (feat. Pharrell Williams)",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,bloodline,0,2,3,3,148,176,3,3,38,156,3,3,spotify:track:2hloaUoRonYssMuqLCBLTX,spotify:track:2hloaUoRonYssMuqLCBLTX,3,1,Ariana Grande,Ariana Grande,3,1,Republic Records,Republic Records,3,1,38,38,3,1,-1,93,3,3,1,3,3,3,8058,19003,3,3,2019-02-14,2019-02-28,3,3,7,9,3,3,2019,2019,3,1,2019-02-14,2019-02-28,3,3,1550102400.0,1551312000.0,3,3,2019-02-01,2019-02-01,3,1,1,1,3,1,0,0,3,1,Ariana Grande; bloodline,Ariana Grande; bloodline,3,1,0,63,3,3,0,100,3,2,False,False,3,1,False,False,3,1
Ariana Grande,boyfriend (with Social House),0,18,19,19,267,363,19,19,8,199,19,17,spotify:track:0Ryd8975WihbObpp5cPW1t,spotify:track:0Ryd8975WihbObpp5cPW1t,19,1,"Ariana Grande, Social House","Ariana Grande, Social House",19,1,Republic Records,Republic Records,19,1,8,8,19,1,-1,148,19,16,1,19,19,19,11316,38814,19,19,2019-08-08,2020-04-02,19,19,14,49,19,19,2019,2020,19,2,2019-08-08,2020-04-02,19,19,1565222400.0,1585785600.0,19,19,2019-08-01,2020-04-01,19,6,1,1,19,1,1,1,19,1,"Ariana Grande, Social House; boyfriend (with Social House)","Ariana Grande, Social House; boyfriend (with Social House)",19,1,-4,39,19,15,0,100,19,4,False,False,19,1,False,False,19,1
Ariana Grande,"break up with your girlfriend, i'm bored",0,30,31,31,142,290,31,31,2,196,31,29,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,31,1,Ariana Grande,Ariana Grande,31,1,Republic Records,Republic Records,31,1,2,2,31,1,-1,176,31,29,1,31,31,31,8819,50578,31,31,2019-02-14,2019-09-12,31,31,7,37,31,31,2019,2019,31,1,2019-02-14,2019-09-12,31,31,1550102400.0,1568246400.0,31,31,2019-02-01,2019-09-01,31,8,1,1,31,1,1,1,31,1,"Ariana Grande; break up with your girlfriend, i'm bored","Ariana Grande; break up with your girlfriend, i'm bored",31,1,-7,28,31,20,0,100,31,4,False,False,31,1,False,False,31,1
Ariana Grande,breathin,0,25,26,26,23,154,26,26,10,156,26,23,spotify:track:4OafepJy2teCjYJbvFE60J,spotify:track:4OafepJy2teCjYJbvFE60J,26,1,Ariana Grande,Ariana Grande,26,1,Republic Records,Republic Records,26,1,10,10,26,1,-1,156,26,24,1,26,26,26,7749,20311,26,26,2018-08-23,2019-02-14,26,26,1,52,26,26,2018,2019,26,2,2018-08-23,2019-02-14,26,26,1534982400.0,1550102400.0,26,26,2018-08-01,2019-02-01,26,7,1,1,26,1,1,1,26,1,Ariana Grande; breathin,Ariana Grande; breathin,26,1,-34,38,26,21,0,100,26,4,False,False,26,1,False,False,26,1
Ariana Grande,bye,0,0,1,1,549,549,1,1,72,72,1,1,spotify:track:1Rweq7vNjK4kZBbGrmxQsl,spotify:track:1Rweq7vNjK4kZBbGrmxQsl,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,72,72,1,1,-1,-1,1,1,1,1,1,1,102485,102485,1,1,2024-03-14,2024-03-14,1,1,11,11,1,1,2024,2024,1,1,2024-03-14,2024-03-14,1,1,1710374400.0,1710374400.0,1,1,2024-03-01,2024-03-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; bye,Ariana Grande; bye,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,don't wanna break up again,0,0,1,1,553,553,1,1,95,95,1,1,spotify:track:0o3ua5ufFK7nfRzbDUNoGA,spotify:track:0o3ua5ufFK7nfRzbDUNoGA,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,95,95,1,1,-1,-1,1,1,1,1,1,1,91114,91114,1,1,2024-03-14,2024-03-14,1,1,11,11,1,1,2024,2024,1,1,2024-03-14,2024-03-14,1,1,1710374400.0,1710374400.0,1,1,2024-03-01,2024-03-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; don't wanna break up again,Ariana Grande; don't wanna break up again,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,eternal sunshine,0,0,1,1,550,550,1,1,78,78,1,1,spotify:track:3RwWW7KeVhHGayYJgUL5eZ,spotify:track:3RwWW7KeVhHGayYJgUL5eZ,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,78,78,1,1,-1,-1,1,1,1,1,1,1,100367,100367,1,1,2024-03-14,2024-03-14,1,1,11,11,1,1,2024,2024,1,1,2024-03-14,2024-03-14,1,1,1710374400.0,1710374400.0,1,1,2024-03-01,2024-03-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; eternal sunshine,Ariana Grande; eternal sunshine,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,everytime,0,2,3,3,26,45,3,3,36,198,3,3,spotify:track:0WdR2AyLW1Drd3OUdwezM0,spotify:track:0WdR2AyLW1Drd3OUdwezM0,3,1,Ariana Grande,Ariana Grande,3,1,Republic Records,Republic Records,3,1,36,36,3,1,-1,53,3,3,1,3,3,3,4235,10896,3,3,2018-08-23,2018-09-06,3,3,34,36,3,3,2018,2018,3,1,2018-08-23,2018-09-06,3,3,1534982400.0,1536192000.0,3,3,2018-08-01,2018-09-01,3,2,1,1,3,1,0,0,3,1,Ariana Grande; everytime,Ariana Grande; everytime,3,1,0,145,3,3,0,100,3,2,False,False,3,1,False,False,3,1
Ariana Grande,fake smile,0,1,2,2,149,165,2,2,42,116,2,2,spotify:track:3wFLWP0FcIqHK1wb1CPthQ,spotify:track:3wFLWP0FcIqHK1wb1CPthQ,2,1,Ariana Grande,Ariana Grande,2,1,Republic Records,Republic Records,2,1,42,42,2,1,-1,42,2,2,1,2,2,2,9224,17618,2,2,2019-02-14,2019-02-21,2,2,7,8,2,2,2019,2019,2,1,2019-02-14,2019-02-21,2,2,1550102400.0,1550707200.0,2,2,2019-02-01,2019-02-01,2,1,1,1,2,1,0,0,2,1,Ariana Grande; fake smile,Ariana Grande; fake smile,2,1,0,74,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Ariana Grande,get well soon,0,0,1,1,36,36,1,1,142,142,1,1,spotify:track:7u6DMPznGbpziuEgCE0JGQ,spotify:track:7u6DMPznGbpziuEgCE0JGQ,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,142,142,1,1,-1,-1,1,1,1,1,1,1,4585,4585,1,1,2018-08-23,2018-08-23,1,1,34,34,1,1,2018,2018,1,1,2018-08-23,2018-08-23,1,1,1534982400.0,1534982400.0,1,1,2018-08-01,2018-08-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; get well soon,Ariana Grande; get well soon,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,ghostin,0,1,2,2,150,166,2,2,45,131,2,2,spotify:track:4lD7gHKF1e8Y9stQuVezZB,spotify:track:4lD7gHKF1e8Y9stQuVezZB,2,1,Ariana Grande,Ariana Grande,2,1,Republic Records,Republic Records,2,1,45,45,2,1,-1,45,2,2,1,2,2,2,8638,17255,2,2,2019-02-14,2019-02-21,2,2,7,8,2,2,2019,2019,2,1,2019-02-14,2019-02-21,2,2,1550102400.0,1550707200.0,2,2,2019-02-01,2019-02-01,2,1,1,1,2,1,0,0,2,1,Ariana Grande; ghostin,Ariana Grande; ghostin,2,1,0,86,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Ariana Grande,goodnight n go,0,0,1,1,30,30,1,1,96,96,1,1,spotify:track:14kYOiFVPb7E7NfFbqhdln,spotify:track:14kYOiFVPb7E7NfFbqhdln,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,96,96,1,1,-1,-1,1,1,1,1,1,1,5842,5842,1,1,2018-08-23,2018-08-23,1,1,34,34,1,1,2018,2018,1,1,2018-08-23,2018-08-23,1,1,1534982400.0,1534982400.0,1,1,2018-08-01,2018-08-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; goodnight n go,Ariana Grande; goodnight n go,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,i wish i hated you,0,0,1,1,555,555,1,1,159,159,1,1,spotify:track:5cQX9BexkPIEESTZijJhXg,spotify:track:5cQX9BexkPIEESTZijJhXg,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,159,159,1,1,-1,-1,1,1,1,1,1,1,72541,72541,1,1,2024-03-14,2024-03-14,1,1,11,11,1,1,2024,2024,1,1,2024-03-14,2024-03-14,1,1,1710374400.0,1710374400.0,1,1,2024-03-01,2024-03-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; i wish i hated you,Ariana Grande; i wish i hated you,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,imagine,0,11,12,12,97,181,12,12,19,177,12,12,spotify:track:0todbbT9g5uQGbeFCiBf2F,spotify:track:39LmTF9RgyakzSYX8txrow,12,2,Ariana Grande,Ariana Grande,12,1,Republic Records,Republic Records,12,1,19,19,12,1,-1,177,12,12,1,12,12,12,7164,19881,12,12,2018-12-20,2019-03-07,12,12,1,52,12,12,2018,2019,12,2,2018-12-20,2019-03-07,12,12,1545264000.0,1551916800.0,12,12,2018-12-01,2019-03-01,12,4,1,1,12,1,0,0,12,1,Ariana Grande; imagine,Ariana Grande; imagine,12,1,-142,69,12,11,0,100,12,3,False,False,12,1,False,False,12,1
Ariana Grande,imperfect for you,0,0,1,1,556,556,1,1,173,173,1,1,spotify:track:6XXKB32Om6WuXg3uEWwTob,spotify:track:6XXKB32Om6WuXg3uEWwTob,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,173,173,1,1,-1,-1,1,1,1,1,1,1,70981,70981,1,1,2024-03-14,2024-03-14,1,1,11,11,1,1,2024,2024,1,1,2024-03-14,2024-03-14,1,1,1710374400.0,1710374400.0,1,1,2024-03-01,2024-03-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; imperfect for you,Ariana Grande; imperfect for you,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,in my head,0,1,2,2,151,167,2,2,55,176,2,2,spotify:track:4T652DlATVHe0jdLKaN3Bw,spotify:track:4T652DlATVHe0jdLKaN3Bw,2,1,Ariana Grande,Ariana Grande,2,1,Republic Records,Republic Records,2,1,55,55,2,1,-1,55,2,2,1,2,2,2,7466,14480,2,2,2019-02-14,2019-02-21,2,2,7,8,2,2,2019,2019,2,1,2019-02-14,2019-02-21,2,2,1550102400.0,1550707200.0,2,2,2019-02-01,2019-02-01,2,1,1,1,2,1,0,0,2,1,Ariana Grande; in my head,Ariana Grande; in my head,2,1,0,121,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Ariana Grande,intro (end of the world),0,1,2,2,552,562,2,2,94,149,2,2,spotify:track:2o1pb13quMReXZqE7jWsgq,spotify:track:2o1pb13quMReXZqE7jWsgq,2,1,Ariana Grande,Ariana Grande,2,1,Republic Records,Republic Records,2,1,94,94,2,1,-1,-1,2,1,1,2,2,2,74530,91377,2,2,2024-03-14,2024-04-04,2,2,11,14,2,2,2024,2024,2,1,2024-03-14,2024-04-04,2,2,1710374400.0,1712188800.0,2,2,2024-03-01,2024-04-01,2,2,1,1,2,1,0,0,2,1,Ariana Grande; intro (end of the world),Ariana Grande; intro (end of the world),2,1,0,55,2,2,0,100,2,2,False,False,2,1,False,False,2,1
Ariana Grande,just like magic,0,0,1,1,417,417,1,1,84,84,1,1,spotify:track:7Dx9Z6Aon1qPS2N0rHSWTe,spotify:track:7Dx9Z6Aon1qPS2N0rHSWTe,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,84,84,1,1,-1,-1,1,1,1,1,1,1,23778,23778,1,1,2020-11-05,2020-11-05,1,1,45,45,1,1,2020,2020,1,1,2020-11-05,2020-11-05,1,1,1604534400.0,1604534400.0,1,1,2020-11-01,2020-11-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; just like magic,Ariana Grande; just like magic,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,make up,0,0,1,1,152,152,1,1,63,63,1,1,spotify:track:27356GVuMPFWiJSZCragoM,spotify:track:27356GVuMPFWiJSZCragoM,1,1,Ariana Grande,Ariana Grande,1,1,Republic Records,Republic Records,1,1,63,63,1,1,-1,-1,1,1,1,1,1,1,13032,13032,1,1,2019-02-14,2019-02-14,1,1,7,7,1,1,2019,2019,1,1,2019-02-14,2019-02-14,1,1,1550102400.0,1550102400.0,1,1,2019-02-01,2019-02-01,1,1,1,1,1,1,0,0,1,1,Ariana Grande; make up,Ariana Grande; make up,1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
Ariana Grande,motive (with Doja Cat),0,2,3,3,413,435,3,3,36,137,3,3,spotify:track:5GkQIP5mWPi4KZLLXeuFTT,spotify:track:5GkQIP5mWPi4KZLLXeuFTT,3,1,"Ariana Grande, Doja Cat","Ariana Grande, Doja Cat",3,1,Republic Records,Republic Records,3,1,36,36,3,1,-1,78,3,3,1,3,3,3,18434,36067,3,3,2020-11-05,2020-11-19,3,3,45,47,3,3,2020,2020,3,1,2020-11-05,2020-11-19,3,3,1604534400.0,1605744000.0,3,3,2020-11-01,2020-11-01,3,1,1,1,3,1,0,0,3,1,"Ariana Grande, Doja Cat; motive (with Doja Cat)","Ariana Grande, Doja Cat; motive (with Doja Cat)",3,1,0,59,3,3,0,100,3,2,False,False,3,1,False,False,3,1
