main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Max Song Count per artist,Max Weeks on Chart per song,first_week_rank,first_week_streams,Max Artist Appearance,encoded_source
Jason Derulo,Tip Toe (feat. French Montana),9943095,4456038,166099722,6920821.75,45,133,5487057,3.9555555555555557,2.2313757198659436,54,24,113,4943508,177,125
Jason Mraz,I'm Yours,5127210,3894090,286435338,4475552.15625,124,76,1233120,1.6129032258064515,1.3166644838717132,64,64,183,3907117,63,89
Jawsh 685,Savage Love (Laxed  Siren Beat) [BTS Remix],12193073,4936934,47829994,6832856.285714285,41,146,7256139,4.560975609756097,2.46976625573686,55,7,41,12193073,61,186
Jawsh 685,Savage Love (Laxed - Siren Beat),34310255,5108950,772646450,14048117.272727273,1,197,29201305,198.0,6.715715557991368,55,55,50,10288240,61,186
Jax Jones,All Day And Night,6797675,4444521,55719059,5571905.9,98,98,2353154,2.0,1.529450530214617,36,10,162,4834915,94,578
Jax Jones,Breathe (feat. Ina Wroldsen),9283638,3970105,117899105,5894955.25,48,151,5313533,4.145833333333333,2.3383860124606275,36,20,182,3970105,94,578
Jax Jones,Harder (with Bebe Rexha),4484835,4484835,4484835,4484835.0,199,0,0,1.0,1.0,36,1,199,4484835,94,578
Jax Jones,Instruction (feat. Demi Lovato & Stefflon Don),6330917,3262755,61441050,4726234.615384615,75,104,3068162,2.3866666666666667,1.9403592975874682,36,13,175,3262755,94,578
Jax Jones,Where Did You Go? (feat. MNEK),7798443,5422034,103010020,6867334.666666667,103,62,2376409,1.6019417475728155,1.438287365958974,36,15,164,5422034,94,578
Jax Jones,You Don't Know Me (feat. RAYE),15033096,2672408,266744207,7409561.305555556,17,180,12360688,11.588235294117647,5.625299729681995,36,36,192,2672408,94,578
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",12530784,4016316,180344827,7514367.791666667,29,158,8514468,6.448275862068965,3.119969643822847,24,24,131,4936937,23,141
Jay Wheeler,La Curiosidad,15111956,5198514,405092672,10386991.58974359,19,166,9913442,9.736842105263158,2.9069761089419015,39,39,95,6128469,38,433
Jaymes Young,Infinity,17497105,5266623,461870187,10741167.139534883,11,184,12230482,17.727272727272727,3.322262671924685,43,43,153,5819518,42,87
Jennifer Lopez,Ni T Ni Yo (feat. Gente de Zona),3569473,3070023,23039700,3291385.714285714,155,36,499450,1.232258064516129,1.1626860775961614,7,7,187,3116210,6,719
Jeremy Zucker,comethru,6088886,4346708,111135224,5292153.523809524,111,88,1742178,1.7927927927927927,1.4008040107594069,21,21,199,4346708,20,630
Jerry Di,Mi Cuarto,10376418,4873380,190519051,7620762.04,47,153,5503038,4.25531914893617,2.1292035507183926,25,25,101,6677147,24,513
Jess Glynne,All I Am,5537882,4222580,33378822,4768403.142857143,120,51,1315302,1.425,1.3114924998460658,15,7,171,4222580,21,88
Jess Glynne,I'll Be There,7730507,4301685,84912372,5660824.8,66,101,3428822,2.5303030303030303,1.797088117795701,15,15,136,4975175,21,88
Jesse & Joy,3 A.M.,4947019,3433109,84802190,4463273.157894737,112,76,1513910,1.6785714285714286,1.4409734733152952,19,19,188,3433109,18,845
Jessi,ZOOM,7609249,5635693,39439787,6573297.833333333,89,103,1973556,2.157303370786517,1.3501886990650485,6,6,151,5891811,5,546
Jessica Darrow,Surface Pressure,12303993,8764295,32766804,10922268.0,26,28,3539698,2.076923076923077,1.4038770945067458,10,3,54,8764295,12,852
Jessica Darrow,"Surface Pressure - From ""Encanto""/Soundtrack Version",13479659,5655464,95033781,9503378.1,23,151,7824195,7.565217391304348,2.383475343490826,10,13,23,13479659,12,784
Jhayco,CMO SE SIENTE - Remix,8701112,4596637,146060794,6085866.416666667,63,135,4104475,3.142857142857143,1.8929299833769775,59,24,63,8701112,121,503
Jhayco,En La De Ella,7074352,6861022,20866082,6955360.666666667,161,35,213330,1.2173913043478262,1.0310930354107595,59,3,170,6930708,121,503
Jhayco,Ley Seca,11418146,5416215,196956035,7575232.115384615,44,141,6001931,4.204545454545454,2.1081412019279147,59,26,108,7428549,121,503
Jhayco,Mami Chula,8057406,8046439,16103845,8051922.5,173,2,10967,1.0115606936416186,1.0013629631691734,59,2,173,8057406,121,503
Jhayco,Medusa,7422252,4901559,51328932,6416116.5,85,83,2520693,1.9764705882352942,1.514263523095407,59,8,85,7241706,121,503
Jhayco,No Me Conoce - Remix,14989110,4501188,548583436,9298024.338983051,20,167,10487922,9.35,3.3300342043033972,59,59,115,6025113,121,503
