rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start Date,Start_Date
126,spotify:track:1GkHyypTFkUf0QQKwYoXH4,"benny blanco, Marshmello, Vance Joy",You (with Marshmello & Vance Joy),Interscope / Friends Keep Secrets / Joytime Collective,97,110,6,2299,2021-02-06,2021-02-06
127,spotify:track:7iKDsPfLT0d5mu2htfMKBZ,BLACKPINK,Love To Hate Me,YG Entertainment/Interscope Records,122,122,6,2293,2021-02-06,2021-02-06
128,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),Arista Records,127,127,6,2293,2021-02-06,2021-02-06
129,spotify:track:4eVkn18rN4GguUWOsR6Use,BTS,Answer : Love Myself,BIGHIT MUSIC,82,104,6,2282,2021-02-06,2021-02-06
130,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,124,124,5,2281,2021-02-06,2021-02-06
131,spotify:track:4umIPjkehX1r7uhmGvXiSV,"Justin Bieber, Quavo",Intentions (feat. Quavo),RBMG/Def Jam,130,130,6,2269,2021-02-06,2021-02-06
132,spotify:track:6ePyl2ns4b7MVYhjsj32ZK,BTS,Intro: Singularity,BIGHIT MUSIC,105,115,6,2268,2021-02-06,2021-02-06
133,spotify:track:75scDPqGs75FotglJSoOI2,"BTS, Steve Aoki",MIC Drop (Steve Aoki Remix) (Full Length Edition),BIGHIT MUSIC,45,119,6,2265,2021-02-06,2021-02-06
134,spotify:track:26YNVqHuwAPeBVfDscTPds,aespa,Forever (약속),SM Entertainment,134,158,2,2264,2021-02-06,2021-02-06
135,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),Internet Money Records / TenThousand Projects,99,141,6,2248,2021-02-06,2021-02-06
136,spotify:track:3UoULw70kMsiVXxW0L3A33,Ariana Grande,pov,Republic Records,136,160,6,2247,2021-02-06,2021-02-06
137,spotify:track:6CdUgvL597jWmW4w8P5kHs,TAEYEON,Fine,SM Entertainment,137,152,4,2239,2021-02-06,2021-02-06
138,spotify:track:4lRwa7PKcGIuJMwtPIYKdy,BTS,Anpanman,BIGHIT MUSIC,81,117,6,2239,2021-02-06,2021-02-06
139,spotify:track:4Oun2ylbjFKMPTiaSbbCih,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),Atlantic/KSR,118,159,5,2234,2021-02-06,2021-02-06
140,spotify:track:2aI2k39nfa3KFsa4JclQzw,BLACKPINK,DDU-DU DDU-DU,"2018 YG Entertainment, distributed through Interscope Records",135,135,5,2234,2021-02-06,2021-02-06
141,spotify:track:0H4ugk6rhnXmTl47ayy9O5,Agust D,Daechwita,BIGHIT MUSIC,12,123,6,2224,2021-02-06,2021-02-06
142,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,"Travis Scott, HVME",Goosebumps - Remix,Cactus Jack/Epic,107,147,4,2214,2021-02-06,2021-02-06
143,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,RBMG/Def Jam,143,149,5,2201,2021-02-06,2021-02-06
144,spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),RCA Records Label,125,125,6,2196,2021-02-06,2021-02-06
145,spotify:track:5MmABMNE9bQlzrk3bVR09B,BTS,Lie,BIGHIT MUSIC,75,137,6,2177,2021-02-06,2021-02-06
146,spotify:track:4ZxOuNHhpyOj4gv52MtQpT,BLACKPINK,As If It's Your Last,YG Entertainment,134,134,3,2177,2021-02-06,2021-02-06
147,spotify:track:3ryjLm3oupIjJFGc39naNi,BTS,dimple,BIGHIT MUSIC,95,148,6,2162,2021-02-06,2021-02-06
148,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Columbia,148,169,4,2156,2021-02-06,2021-02-06
149,spotify:track:6JdS5rJvJaRA7B1tcm7kxZ,BTS,Dionysus,BIGHIT MUSIC,78,140,6,2130,2021-02-06,2021-02-06
150,spotify:track:0ox4uVLjlsGh0XseBN2fZa,NCT 127,First Love,avex trax,44,116,6,2129,2021-02-06,2021-02-06
151,spotify:track:2AIWoHr9DF6y4KALCBKWQS,BTS,IDOL,BIGHIT MUSIC,87,155,6,2116,2021-02-06,2021-02-06
152,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,"j-hope, Becky G",Chicken Noodle Soup (feat. Becky G),BIGHIT MUSIC,29,132,6,2096,2021-02-06,2021-02-06
153,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,"NCT, NCT U",BOSS,SM Entertainment,116,133,6,2096,2021-02-06,2021-02-06
154,spotify:track:7lV0M6ulaapTNZJzx8stw0,CHA NI (SF9),Starlight,Genie Music Corporation,154,179,2,2095,2021-02-06,2021-02-06
155,spotify:track:3uA8SjMyDtwtt0jLPMQbVD,"DEAN, Gaeko",D (Half Moon),Universal Music Ltd.,155,165,2,2092,2021-02-06,2021-02-06
156,spotify:track:5joNJn9LUvYcamWwa2iYCL,OH MY GIRL,Nonstop,WM ENTERTAINMENT INC.,156,175,3,2091,2021-02-06,2021-02-06
157,spotify:track:4CoxD8tetisleUQDA7vn1B,JEON SOMI,What You Waiting For,THE BLACK LABEL/Interscope Records,157,178,2,2091,2021-02-06,2021-02-06
158,spotify:track:6wfj7DeUoTA9gXbpLz3XSM,"lIlBOI, Wonstein, Chillin Homie, Skyminhyuk",Freak (Prod. Slom),Genie Music Corporation,158,170,3,2086,2021-02-06,2021-02-06
159,spotify:track:7ju97lgwC2rKQ6wwsf9no9,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),Interscope,150,163,6,2074,2021-02-06,2021-02-06
160,spotify:track:6rcn967QN5JtkPOBDwYIuT,NCT DREAM,BOOM,SM Entertainment,74,128,6,2066,2021-02-06,2021-02-06
161,spotify:track:2c37Gkpu75l3kvh1FUZrHV,"Jay Park, Hoody, Loco",All I Wanna Do (K) (Feat. Hoody & Loco),"Genie Music Corporation, Stone Music Entertainment",161,166,2,2066,2021-02-06,2021-02-06
162,spotify:track:71vPAjlG1x606483GTJNhY,IZ*ONE,FIESTA,"Genie Music Corporation, Stone Music Entertainment",162,186,3,2064,2021-02-06,2021-02-06
