rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start_Date
1,spotify:track:5xrtzzzikpG3BLbo4q1Yul,IU,LILAC,EDAM Entertainment,1,1,3,23179,2021-03-27
2,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, GIVĒON",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,2,9,19839,2021-03-27
3,spotify:track:5nCwjUUsmBuNZKn9Xu10Os,IU,Celebrity,EDAM Entertainment,3,3,33,14880,2021-03-27
4,spotify:track:7CZRguMolNqIobnXxpV735,IU,Coin,EDAM Entertainment,4,4,3,13549,2021-03-27
5,spotify:track:2pn8dNVSpYnAtlKFC8Q0DJ,ROSÉ,On The Ground,YG Entertainment/Interscope Records,1,6,16,12472,2021-03-27
6,spotify:track:2j0MsDAMJ2ahsxP3z86ChI,IU,Flu,EDAM Entertainment,5,5,3,11298,2021-03-27
7,spotify:track:2VJOpzv5sBpstCX9venJr5,Brave Girls,Rollin',브레이브 엔터테인먼트,2,12,17,10688,2021-03-27
8,spotify:track:64P4md3mdMM8Dog2aThmzj,"IU, DEAN",Troll (Feat. DEAN),EDAM Entertainment,7,7,3,9636,2021-03-27
9,spotify:track:46wDG6evLn2iPoQ0F8CUWk,IU,My sea,EDAM Entertainment,9,9,3,9626,2021-03-27
10,spotify:track:2M7a2Us8CEU1HZHj70byGX,IU,Hi spring Bye,EDAM Entertainment,8,8,3,9218,2021-03-27
11,spotify:track:1IJxbEXfgiKuRx6oXMX87e,IU,Ah puh,EDAM Entertainment,10,10,3,8697,2021-03-27
12,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,1,14,23,8473,2021-03-27
13,spotify:track:6rcwrRWKyjaFyUL8b8GlIJ,IU,Epilogue,EDAM Entertainment,13,13,3,8194,2021-03-27
14,spotify:track:4YnVz2QRU6OnoJ8lt23QHM,IU,Empty Cup,EDAM Entertainment,11,11,3,7953,2021-03-27
15,spotify:track:1nahzW3kfMuwReTka28tH5,Justin Bieber,Hold On,RBMG/Def Jam,3,15,23,7301,2021-03-27
16,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,1,16,55,6947,2021-03-27
17,spotify:track:6F2r4HgpJnvKDmkN6JEN6J,"Justin Bieber, Khalid",As I Am (feat. Khalid),RBMG/Def Jam,8,17,9,5662,2021-03-27
18,spotify:track:2dHoVW9AxJVSRebPRyV2aA,ROSÉ,Gone,YG Entertainment/Interscope Records,2,18,16,5513,2021-03-27
19,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,GIVĒON,Heartbreak Anniversary,Epic/Not So Fast,17,24,41,4498,2021-03-27
20,spotify:track:249gnXrbfmV8NG6jTEMSwD,BTS,Life Goes On,BIGHIT MUSIC,2,22,55,4449,2021-03-27
21,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,20,55,4421,2021-03-27
22,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,5,21,55,4396,2021-03-27
23,spotify:track:6fRxMU4LWwyaSSowV441IU,"Maroon 5, Megan Thee Stallion",Beautiful Mistakes (feat. Megan Thee Stallion),Interscope Records*,12,19,23,4320,2021-03-27
