collab_artist,number of times,main_artist
Chance the Rapper,1,Justin Bieber
Dominic Fike,1,Justin Bieber
Giveon,1,Justin Bieber
The Kid LAROI,1,Justin Bieber
Don Toliver,1,Justin Bieber
benny blanco,1,Justin Bieber
Lil Uzi Vert,1,Justin Bieber
Snoop Dogg,1,Justin Bieber
Quavo,1,Justin Bieber
TroyBoi,1,Justin Bieber
USHER,1,Justin Bieber
Burna Boy,1,Justin Bieber
Ludacris,1,Justin Bieber
Daniel Caesar,1,Justin Bieber
Khalid,1,Justin Bieber
BEAM,1,Justin Bieber
