collab_artist,number of times,main_artist
Sofia Carson,1,Jimin
Muni Long,1,Jimin
JVKE,1,Jimin
Fast & Furious: The Fast Saga,1,Jimin
HA SUNG WOON,1,Jimin
Kodak Black,1,Jimin
Loco,1,Jimin
NLE Choppa,1,Jimin
