rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
154,spotify:track:58TaFP5j5i9swOf584yon2,Travis Scott,HOUSTONFORNICATION,Cactus Jack / Epic / Grand Hustle,44,44,2,4598,2018-08-16
155,spotify:track:4KYS9GK68yeuUJ8vJfPxrq,Travis Scott,WHO? WHAT!,Cactus Jack / Epic / Grand Hustle,43,43,2,4585,2018-08-16
156,spotify:track:0prNGof3XqfTvNDxHonvdK,Alessia Cara,Scars To Your Beautiful,"EP Entertainment, LLC / Def Jam",156,157,10,4558,2018-08-16
157,spotify:track:0b9oOr2ZgvyQu88wzixux9,Childish Gambino,This Is America,Wolf+Rothstein/RCA Records,1,125,15,4541,2018-08-16
158,spotify:track:6cQnrSlTxhHCCiUpKrs7g3,Twenty One Pilots,Jumpsuit,Fueled By Ramen,46,-1,4,4536,2018-08-16
159,spotify:track:4MXhiYIRDMGAuvZc5IFTwC,Travis Scott,ASTROTHUNDER,Cactus Jack / Epic / Grand Hustle,39,39,2,4529,2018-08-16
160,spotify:track:7AQim7LbvFVZJE3O8TYgf2,"XXXTENTACION, Trippie Redd",Fuck Love (feat. Trippie Redd),Bad Vibes Forever / EMPIRE,36,141,12,4513,2018-08-16
161,spotify:track:4xkOaSrkexMciUUogZKVTS,"Eminem, Nate Dogg",'Till I Collapse,Aftermath,42,147,22,4508,2018-08-16
162,spotify:track:4QVS8YCpK71R4FsxSMCjhP,"Gryffin, Elley Duhé",Tie Me Down (with Elley Duhé),Darkroom,162,-1,1,4505,2018-08-16
163,spotify:track:3KYOGt8IO6j8wptkG9THag,Hozier,Take Me To Church,Universal-Island Records Ltd.,152,163,7,4495,2018-08-16
164,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,RCA Records Label,157,173,7,4479,2018-08-16
165,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,133,166,21,4475,2018-08-16
166,spotify:track:7boPPE857KEqCIHNwFkDop,"Sia, Diplo, Labrinth, LSD","Audio (feat. Sia, Diplo, and Labrinth)",Records/Columbia,53,-1,13,4437,2018-08-16
167,spotify:track:38zwkK6TtTjIW9tpYBfZ3D,George Ezra,Paradise,Columbia,153,172,18,4421,2018-08-16
168,spotify:track:3eR23VReFzcdmS7TYCrhCe,"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez),Kygo,115,164,21,4409,2018-08-16
169,spotify:track:4bgLhyOumMVECw62ntWogA,"GoldFish, Sorana",Hold Your Kite (feat. Sorana),RCA Records Label,35,96,21,4407,2018-08-16
170,spotify:track:6BJbOXDlgVAXSaq6wYFYT2,Travis Scott,NC-17,Cactus Jack / Epic / Grand Hustle,40,40,2,4380,2018-08-16
171,spotify:track:0aWMostcnfyjuCEcO7sTz5,"Jaden, Christian Rich",GHOST,"MSFTSMusic / Roc Nation Records, LLC",47,135,8,4364,2018-08-16
172,spotify:track:10Igtw8bSDyyFs7KIsKngZ,"Lil Dicky, Chris Brown",Freaky Friday (feat. Chris Brown),Commission/BMG,7,134,22,4363,2018-08-16
173,spotify:track:1gm616Plq4ScqNi7TVkZ5N,The Weeknd,Call Out My Name,Universal Republic Records,2,178,20,4356,2018-08-16
174,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,Plug Walk,Rich The Kid / (TDE/ISR PS),16,127,23,4327,2018-08-16
175,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares,Bad Vibes Forever / EMPIRE,38,162,10,4327,2018-08-16
176,spotify:track:1zi7xx7UVEFkmKfv06H8x0,"Drake, WizKid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,78,168,22,4319,2018-08-16
177,spotify:track:6vnfObZ4Ys70SBAtti1xZ9,Travis Scott,COFFEE BEAN,Cactus Jack / Epic / Grand Hustle,55,55,2,4277,2018-08-16
178,spotify:track:43RSiN5Os4MiYwj3fNVomY,Nicki Minaj,2 Lit 2 Late Interlude,Young Money/Cash Money Records,178,-1,1,4249,2018-08-16
179,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,Self Care,Warner Records,71,71,2,4210,2018-08-16
180,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,"Right Hand Music Group, LLC/RCA Records",61,158,22,4202,2018-08-16
181,spotify:track:6mORGLOz79w6VsCRLWYYuK,Lord Huron,The Night We Met,Play It Again Sam,86,-1,21,4195,2018-08-16
182,spotify:track:1cS0TgbR263ey9jn0MwD2s,"Eminem, Ed Sheeran",River (feat. Ed Sheeran),Aftermath,17,174,23,4190,2018-08-16
183,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,F-Stop Records/Atlantic,147,179,11,4176,2018-08-16
184,spotify:track:6eYxmK9fdL4hwLnXG2zY3s,XXXTENTACION,Look At Me!,Bad Vibes Forever / EMPIRE,49,146,9,4144,2018-08-16
185,spotify:track:4fkCcUS3Gl5cRi9zNt7oMa,"Nasty C, Rowlene",SMA,Universal Music (Pty) Ltd.,40,180,6,4126,2018-08-16
186,spotify:track:5Psnhdkyanjpgc2P8A5TSM,Drake,Emotionless,Cash Money/Drake LP6,3,130,7,4125,2018-08-16
187,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,King Princess,1950,"Zelig Records, LLC./Columbia Records",42,195,22,4118,2018-08-16
188,spotify:track:7uzmGiiJyRfuViKKK3lVmR,Bazzi,Mine,iamcosmic,13,187,23,4095,2018-08-16
189,spotify:track:2xmrfQpmS2iJExTlklLoAL,"Clean Bandit, Julia Michaels",I Miss You (feat. Julia Michaels),Atlantic Records UK,26,193,23,4076,2018-08-16
190,spotify:track:68njR0pHe0o8fXTFDUCqbM,"Nasty C, A$AP Ferg",King,Universal Music (Pty) Ltd.,21,131,11,4071,2018-08-16
191,spotify:track:0p0ljM6RxgpGt7wthGqBZa,"Cash Cash, ABIR",Finest Hour (feat. Abir),Big Beat Records,191,-1,1,4063,2018-08-16
192,spotify:track:1TfqLAPs4K3s2rJMoCokcS,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made of This) - Remastered,RCA Records Label,135,-1,9,4037,2018-08-16
193,spotify:track:0puf9yIluy9W0vpMEUoAnN,"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,Lava Music/Republic Records,193,-1,1,4025,2018-08-16
194,spotify:track:2vfFy3Dl06stnUThHzzx6T,"Pascal & Pearce, Jethro Tait",Running Wild,Luna Rising Music,76,-1,21,4016,2018-08-16
195,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","Let Me Go (with Alesso, Florida Georgia Line & watt)",Universal Records,66,197,22,4015,2018-08-16
196,spotify:track:1DfASEEKVByFKTgCArlkS5,Nicki Minaj,Miami,Young Money/Cash Money Records,196,-1,1,3998,2018-08-16
197,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,"David Guetta, Martin Garrix, Brooks",Like I Do,Parlophone (France),12,191,23,3987,2018-08-16
198,spotify:track:5ChkMS8OtdzJeqyybCc9R5,Michael Jackson,Billie Jean,Epic/Legacy,124,182,10,3960,2018-08-16
199,spotify:track:6ZIuit0z4eQg77F1RGkp0L,Twenty One Pilots,Nico and the Niners,Fueled By Ramen,73,-1,4,3956,2018-08-16
200,spotify:track:5xV0Czdqefft6sPDqjmFBu,Mario,Let Me Love You,J Records,198,-1,2,3950,2018-08-16
