rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
91,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",86,108,9,"52199"
92,"spotify:track:2Hh3ETdQKrmSI3QS0hme7g","Metro Boomin, Future, Don Toliver","Too Many Nights (feat. Don Toliver & with Future)","Republic Records",18,85,3,"52132"
93,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",93,-1,1,"52119"
94,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,131,160,"52046"
95,"spotify:track:1grMFirLZsqR452CEwBKSV","Nomfundo Moh, Sha Sha, Ami Faku","Phakade Lami","Universal Music (Pty) Ltd.",17,159,60,"51978"
96,"spotify:track:6oqzsWXndalljWVeU2MjDq","Kelvin Momo, Babalwa M, Aymos","Inyembezi","Kelvin Momo Productions",96,96,12,"50734"
97,"spotify:track:6NB2npCHsGXQ059pMhXJzl","Barto","H2Oë","Select",97,151,7,"50622"
98,"spotify:track:3fvyqhNTjtobvYV8VYr5w0","Riaan Benadé","Spontaan","WM South Africa",95,146,94,"50607"
99,"spotify:track:7BH6nyhnWTSfMUwwrCYbJF","Q-Mark, TpZee, Afriikan Papi","Paris","Cloud9ne Entertainment",1,135,54,"49930"
100,"spotify:track:5Lk04mjuDowI8YL7uZvMlD","Gaba Cannal, George Lesley, Russell Zuma","Healer Ntliziyo Yam","Gaba Cannal Music",12,143,35,"49866"
101,"spotify:track:181RlW4FYWSzaV9xt8xUPQ","Riaan Benadé","Vat 'n Bietjie","WM South Africa",69,158,87,"49487"
102,"spotify:track:3Z81B2c0U6WK0VqkrcAqoR","Kelvin Momo, Khalil Harrison","Art Of Love","Kelvin Momo Productions",31,31,2,"49245"
103,"spotify:track:0RwvdQ3H9kSo1lk9IFTBqf","Riaan Benadé, Jay","Rowwe Bliksem","WM South Africa",35,164,47,"49027"
104,"spotify:track:6F70m9aMK4PSJKBfp1H8DZ","Kabza De Small, DJ Maphorisa, Ami Faku","Asibe Happy","Piano Hub",1,150,58,"48424"
105,"spotify:track:7vQbuQcyTflfCIOu3Uzzya","Bobby Helms","Jingle Bell Rock","Geffen",14,-1,13,"48409"
106,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,123,76,"48347"
107,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",31,116,11,"48281"
108,"spotify:track:1FBzFZKTutmVoQuQCfVfCW","MaWhoo, DJ Maphorisa, Kabza De Small","Kulula","Mawhoo",31,104,4,"48152"
109,"spotify:track:2KLwPaRDOB87XOYAT2fgxh","Drake, 21 Savage, Travis Scott","Pussy & Millions (feat. Travis Scott)","OVO / Republic Records",5,117,7,"47997"
110,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",22,127,243,"47946"
111,"spotify:track:3pXF1nA74528Edde4of9CC","Bryson Tiller","Don't","TrapSoul/RCA Records",55,120,51,"47548"
112,"spotify:track:5WxVXxCMRnvxUKFq40ELwq","RAYE, 070 Shake","Escapism.","Human Re Sources",112,139,3,"47275"
113,"spotify:track:0u2A4QNAMUyfQbgfVR3HvK","Kizz Daniel, EMPIRE","Cough (Odo)","EMPIRE",102,178,8,"47183"
114,"spotify:track:6qXoZby29Lp0QmA4NsSE0J","Dodo Nyoka","Foto's","WM South Africa",86,142,7,"47179"
115,"spotify:track:5hVjoL3sHepZROri63wBxP","Burna Boy","It's Plenty","Spaceship Entertainment Ltd.",29,137,22,"47147"
116,"spotify:track:6n9gRnIKWnUW4SScxC1cGj","Kelvin Momo, Makhanj","Imikhuleko","Kelvin Momo Productions",30,30,2,"47139"
117,"spotify:track:10xV5l9nhLvFpR8mqzs0bL","Marshmello, Khalid","Numb","Joytime Collective/RCA Records",53,112,28,"46429"
118,"spotify:track:0lizgQ7Qw35od7CYaoMBZb","Ariana Grande","Santa Tell Me","Universal Records",7,194,15,"46379"
119,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",57,124,101,"46001"
120,"spotify:track:0m58cw8yoUHOsECs6ehSUj","Sam Deep, Playgal, De Mthuda, Babalwa M, Sipho Magudulela","Kusezo Khanya","Universal Music (Pty) Ltd.",42,167,37,"45392"
121,"spotify:track:3bDZnbdUWy02rqFzb5Sooi","Irene-Louise Van Wyk","Tekkies Brand","WM South Africa",65,171,68,"45028"
122,"spotify:track:6u2IvQN4TBBPLXkGYwWTlw","Nomfundo Moh","Soft Life","Universal Music (Pty) Ltd.",26,161,38,"44859"
123,"spotify:track:6eT2V7nKXyMf47TwPbtgAD","SZA","Seek & Destroy","Top Dawg Entertainment/RCA Records",35,35,2,"44662"
124,"spotify:track:4NqkE7kRUvMDEdcqD96EDO","SZA, Don Toliver","Used (feat. Don Toliver)","Top Dawg Entertainment/RCA Records",41,41,2,"44553"
125,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",56,134,15,"44493"
126,"spotify:track:4DRoBeOfWYPxEAQl3qjXx3","Makhadzi, Mr Brown","MaGear","Open Mic Productions",117,193,18,"44036"
127,"spotify:track:7BmjQ0KPmlaebcMOtwEYbX","Kelvin Momo, Jay Sax","Summer Rain","Kelvin Momo Productions",23,23,2,"43958"
128,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",43,133,33,"43671"
129,"spotify:track:5bJEHJ8BPTn7dYM7EYmwvE","Eloff","Witblits","Select",105,177,22,"43504"
130,"spotify:track:3AN96mijpWgIeUEJpvCNaO","Barto","Impulsief","Select",130,192,2,"43378"
131,"spotify:track:46s57QULU02Voy0Kup6UEb","Drake, 21 Savage","Major Distribution","OVO / Republic Records",2,138,7,"42623"
132,"spotify:track:2UNdr8gnOQrVkSmLDeC59w","Musa Keys, Loui","Selema (Po Po)","Keys Records",10,172,48,"42529"
133,"spotify:track:584B5N5x0phtVVpBtSNcPt","Wanitwa Mos, Master KG, Nkosazana Daughter, Basetsana, Obeey Amor","Dali Nguwe","Wanitwa Mos Entertainment",2,183,53,"42494"
134,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",91,163,36,"42346"
135,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",20,147,59,"42321"
136,"spotify:track:2iR0mXh8lpo3TK3ot8MBua","DJ Stokie, Ben Da Prince, Nkosazana_Daughter","Aw'ufani Nabanye","Universal Music (Pty) Ltd.",136,-1,1,"42308"
