rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
114,spotify:track:74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,Perfect Night,SOURCE MUSIC,10,138,62,58002,2025-01-02
115,spotify:track:5s7flUAYsDmcUWtHsMCihv,Jin,I will come to you,BIGHIT MUSIC,31,113,7,57114,2025-01-02
116,spotify:track:6cMpMygFRbnQsI1m5oq8dp,BIGBANG,SOBER,YG Entertainment,116,167,5,57077,2025-01-02
117,spotify:track:0T6J3Ipbe06lm7p3grH2bg,DAY6,Melt Down,Republic Records - DAY6,17,132,18,56495,2025-01-02
118,spotify:track:7iT56ss42YdtYnNQEnxp9Z,G-DRAGON,WHO YOU?,YG Entertainment,98,140,8,56166,2025-01-02
119,spotify:track:6DA7kCWYMggJjqPM84V2Ng,HYUKOH,TOMBOY,DOOROODOOROO ARTIST COMPANY,85,-1,31,55739,2025-01-02
120,spotify:track:77n3jFGqPPxYrEGwrWylNv,ROSÉ,gameboy,Atlantic Records,27,86,4,55456,2025-01-02
121,spotify:track:1E14FuM0BRaHAJSJ9YxMVu,Lim Young Woong,A Psalm of Life,물고기뮤직,26,136,134,55192,2025-01-02
122,spotify:track:5h1BN75CEh8wdSwE1xrbSe,V,Slow Dancing,BIGHIT MUSIC,4,-1,65,55188,2025-01-02
123,spotify:track:2O4Bb2WCkjlTPO827OnBMI,LE SSERAFIM,EASY,SOURCE MUSIC,3,159,44,55101,2025-01-02
124,spotify:track:4mqfe9XrgEOSsofvq5MyjR,LEECHANGSUB,Heavenly fate,TOON STUDIO,98,139,40,54957,2025-01-02
125,spotify:track:2gyCwrOcC6JBoaJ8JGJ7T8,TAEYEON,To. X,SM Entertainment,13,122,58,54892,2025-01-02
126,spotify:track:19Hg1UCZaCdpHB37L7x63X,The Black Skirts,EVERYTHING,"DOGGYRICH FOREVER, BESPOK.",110,154,100,54738,2025-01-02
127,spotify:track:0FVPOqIivjXR49CyJZAw7g,BIGBANG,IF YOU,YG Entertainment,127,168,6,54273,2025-01-02
128,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,86,98,83,53903,2025-01-02
129,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,71,165,53,53839,2025-01-02
130,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,19,184,106,53271,2025-01-02
131,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,NewJeans,Attention,ADOR,1,151,127,53176,2025-01-02
132,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",132,158,4,52978,2025-01-02
133,spotify:track:5mtTAScDytxMMqZj14NmlN,wave to earth,love.,WAVY,133,179,9,52902,2025-01-02
134,spotify:track:6cwSbxCqAwBNbCqaLMZgbT,BIGBANG,LOSER,YG Entertainment,109,188,8,52878,2025-01-02
135,spotify:track:6aJn7Cst74cj4lNIiPRgav,KATSEYE,Touch,HYBE/Geffen,17,141,21,52669,2025-01-02
136,spotify:track:6jTQijAuYxOd8DjQ8D6UkL,SZA,What Do I Do,Top Dawg Entertainment/RCA Records,111,111,2,52346,2025-01-02
137,spotify:track:2lsRp40mCRkhqULWdMbOzn,Lim Young Woong,I Love You,물고기뮤직,15,149,138,52163,2025-01-02
138,spotify:track:5VBjyOQzqlPNgdRPMM6prF,wave to earth,seasons,ADA Korea,138,174,23,51863,2025-01-02
139,spotify:track:0hqj5JBnFt1BHEz2UCFwrl,AKMU,"How can I love the heartbreak, you're the one I love",YG Entertainment,37,161,79,51667,2025-01-02
140,spotify:track:4eyBiwsaGBRCjACGZKZsf7,Lim Jae Hyun,If there was practice in love,디원미디어,122,163,11,51635,2025-01-02
141,spotify:track:3lYvepDz6yYj29z7e4r5z0,BIGBANG,FXXK IT,YG Entertainment,115,199,8,51590,2025-01-02
142,spotify:track:4cGxjripxGYy1VrC9gzmlF,"HOZIHO, Choi Sung Ho",Don't Cry,HOZIHOMUSIC,119,146,32,51341,2025-01-02
143,spotify:track:365znJ27Fb3faGsctmQYWR,Lim Young Woong,Father,물고기뮤직,29,157,133,51164,2025-01-02
144,spotify:track:4JK1kDUdH9RTBQrrSO1QfR,Yuuri,ベテルギウス,Sony Music Labels Inc.,21,145,90,51080,2025-01-02
145,spotify:track:39k6Kd9PcgJMkc4DRRztuq,"YANGHONGWON, Kid Milli, NO:EL, ksmartboi, Swings","Ballin (Feat. Kid Milli, NO:EL, Ksmartboi, Swings)",Indigo Music,145,-1,1,50660,2025-01-02
146,spotify:track:7HaUkQ34NYlOXFFspHeoG6,"Jin, Taka",Falling (feat. Taka),BIGHIT MUSIC,75,135,5,50074,2025-01-02
147,spotify:track:370HUQ80ZczhMaWuFZO54Q,BIGBANG,FLOWER ROAD,YG Entertainment,98,-1,6,49640,2025-01-02
148,spotify:track:11s5p72subU7SHJPzyR2Lq,RIIZE,Memories,SM Entertainment/RCA Records,36,181,67,49591,2025-01-02
149,spotify:track:3y4q6bBdbXsTIaPiwiiUfy,ROSÉ,3am,Atlantic Records,30,100,4,49517,2025-01-02
150,spotify:track:0Tq7v8YAmwdnAYBwyR1pZ4,BOYNEXTDOOR,"Earth, Wind & Fire",KOZ Entertainment,27,-1,29,48972,2025-01-02
151,spotify:track:7qBtrHeh3R41pfe9t0j5ZP,Stray Kids,As we are (Seungmin),Republic Records - Stray Kids,87,87,3,48781,2025-01-02
152,spotify:track:7CkjU55ROZSwb95dzGan0o,Geeks,Officially Missing You,"킹핀엔터테인먼트, GRDL",109,144,17,48725,2025-01-02
153,spotify:track:0Yox4FlUiFAtWVrSJhPheU,"Loopy, OSUN, JP",OTL (OFF THE LEASH),Genie Music Corporation,85,106,4,48712,2025-01-02
154,spotify:track:2cxcqKwQtfKq7giphxjzOu,tuki.,晩餐歌,月面着陸計画,86,193,30,48400,2025-01-02
155,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,35,171,196,48233,2025-01-02
156,spotify:track:66UcQu5LBo2A7AC0A5r0lI,HYUKOH,Wi Ing Wi Ing,DOOROODOOROO ARTIST COMPANY,133,-1,27,48074,2025-01-02
157,spotify:track:0yfQBmmOIVqiwhV5u10EhN,Lim Young Woong,Love Letter,물고기뮤직,23,170,128,47965,2025-01-02
158,spotify:track:7x3SGAkfIrzDr9paSslwMv,Lim Young Woong,Lovely Touch,물고기뮤직,28,189,131,47923,2025-01-02
159,spotify:track:3tAdTGraj8pxbFnycDLMke,"TWICE, Megan Thee Stallion",Strategy (feat. Megan Thee Stallion),Republic Records - TWICE,97,125,4,47839,2025-01-02
