main_artist,country
Zerrydl,
SB MENA,
Moses Bliss,
Id Cabasa,
EI8HT,
Nasboi,
Sidhu Moose Wala,
Vibez Inc,
Smada,
Jimin,
Freshyo livinglarge,
Neyorla,
Teee Dollar,
Guchi,
oSHAMO,
TxC,
The Real Prechly,
Tommy Richman,
St. Seii,
Pcee,
Voltage Of Hype,
JayO,
Mr.Tee,
Laime,
Odumodublvck,
Thisizlondon,
Iniko,
3GAR BABY,
Mr Pilato,
Tobi Adu,
Mustard,
DJ Big N,
Lovince Mckenzie,
Metro Boomin,
Fido,
Sunmisola Agbebi,
Dunsin Oyekan,
Ruhdee,
Aguero Banks,
Nerryckole,
Two Tapp,
O.L.A,
Sertonin,
Billion Solar,
Toosii,
Tyla,
Lil Uzi Vert,
Smur Lee,
Rod Wave,
Faceless,
The Weeknd,
JIN,
ziko eazy,
21 Savage,
SZA,
Runtown,
Kofi,
Aleman,
Bloody Civilian,
Taylor Swift,
The Cavemen.,
Rihanna,
Juice WRLD,
Venox,
Dj Voyst,
S high,
AKA,
STANY,
Johnny Drille,
Show Dem Camp,
Lil Yachty,
Marshmello,
Portable,
Berri-Tiga,
The Therapist,
Ice Spice,
Boi Chase,
Uncle Waffles,
BLEU,
Ajebutter22,
Limoblaze,
Patoranking,
Wizkid,
Highlife Soes,
Skepta,
KTIZO,
K.O,
Erigga,
Balming Tiger,
Chike,
Bayanni,
Anonymous Music,
Jux,
Idahams,
benny blanco,
DJ Khaled,
NAV,
Emmmzeal,
D Jay,
Carterefe,
TAR1Q,
Phyno,
Central Cee,
Yemi Alade,
Spyro,
P-Square,
Russ,
King Promise,
M.I. Abaga,
Mut4y,
Spirit of Prophecy,
Alec Benjamin,
Hitboy Kellz,
Sam Smith,
Cardi B,
Smallgod,
Roddy Ricch,
B Young,
Crayon,
T DOLLAR,
Stormzy,
DaBaby,
Charlie Puth,
j-hope,
Beyonc,
Kabza De Small,
Joji,
Chris Brown,
Mr Eazi,
PsychoYP,
Pharrell Williams,
Costa Titch,
BTS,
Kate Bush,
Niniola,
Lad,
Django23,
Nonso Amadi,
Nissi,
Kanye West,
Brymo,
Quavo,USA
Lexsil,Kenya
Danny Brace,Nigeria
M Huncho,UK
Magnito,Nigeria
Mavins,Nigeria
Waje,Nigeria
Dj Boat,Ghana
Damo K,Nigeria
White Money,Nigeria
Tempoe,Nigeria
Ktizo,Uganda
Stonebwoy,Ghana
A$AP Rocky,USA
T dollar,Nigeria
Ollie Flows,Nigeria
NSG,Nigeria and Ghana
Cobhams Asuquo,Nigeria
Kendrick Lamar,USA
Tripcy,Ghana
Pusha T,USA
Kwesi Arthur,Ghana
Candy Bleakz,Nigeria
Majeeed,Nigeria
Southside,USA
Balloranking,Nigeria
DJ Tarico,ZA
Camila Cabello,USA
Nicki Minaj,USA
Fave,Nigeria
Yaw Tog,Ghana
Polo G,USA
Ayra Starr,Nigeria
Tayc,France
BNXN fka Buju,Nigeria
Bella Shmurda,Nigeria
Ch'cco,ZA
Jung Kook,South Korea
Oxlade,Oxlade
Rema,Nigeria
Bad Boy Timz,Nigeria
Niphkeys,Nigeria
Clement whyte,Nigeria
Jnr Choi,UK
Lil Kesh,Nigeria
Ice Prince,Nigeria
Omah Lay,Nigeria
Poco Lee,Nigeria
WurlD,Nigeria
Aa,Nigeria
Reminisce,Nigeria
ArrDee,UK
Ruth B.,Canada
Timaya,Nigeria
Kodak Black,USA
Mohbad,Nigeria
Muni Long,USA
Khaid,Nigeria
Jack Harlow,USA
Boy Spyce,Jamaica
WizKid,Nigeria
DJ Tunez,Nigeria
Billie Eilish,USA
Reekado Banks,Nigeria
King Perryy,Nigeria
Fiokee,Nigeria
Jaymes Young,USA
Broda Shaggi,Nigeria
Focalistic,ZA
Feranbanks,Nigeria
Trinidad Cardona,USA
Coi Leray,USA
Kay Flock,USA
chike,Nigeria
Drake,USA
Boj,UK
CKay,Nigeria
Justin Bieber,Canada
BIA,USA
DJ Kaywise,Nigeria
Internet Money,USA
Iyanya,Nigeria
T-Classic,Nigeria
Daliwonga,ZA
Blaqbonez,Nigeria
Terri,Nigeria
Zlatan,Nigeria
SPINALL,Nigeria
Amaarae,USA
Zinoleesky,Nigeria
Skiibii,Nigeria
Barry Jhay,Nigeria
Labrinth,UK
Lil Durk,USA
Teni,Nigeria
Adele,UK
Peruzzi,Nigeria
Burna Boy,Nigeria
Goya Menor,Nigeria
Lil Baby,USA
Megan Thee Stallion,USA
Post Malone,USA
Prinx Emmanuel,Nigeria
GAYLE,USA
LAYCON,Nigeria
Kelvyn Boy,Ghana
Sarkodie,Ghana
Yung Lean,Sweden
Cheque,Nigeria
1da Banton,Nigeria
Pop Smoke,USA
Doja Cat,USA
KiddBlack,Ghana
Kayode,Nigeria
Camidoh,Ghana
Pheelz,Nigeria
Vector,Nigeria
Victony,Nigeria
Dave,UK
Joeboy,Nigeria
Khalid,USA
T.I BLAZE,Nigeria
Lil Tjay,USA
Masterkraft,Nigeria
W4,Nigeria
NATIVE Sound System,Nigeria
Skales,Nigeria
LADIPOE,Nigeria
Larry Gaaga,Nigeria
Davido,Nigeria
Dremo,Nigeria
Harry Styles,UK
Gunna,USA
AV,Nigeria
Tems,Nigeria
Madonna,USA
Nasty C,ZA
Flavour,Nigeria
Kizz Daniel,Nigeria
Future,USA
KiDi,Ghana
Simi,Nigeria
Lil Nas X,USA
Troniq Music,Nigeria
Lojay,Nigeria
Darkoo,UK
Dreamville,USA
Fireboy DML,Nigeria
L.A.X,Nigeria
Asake,Nigeria
Olakira,Nigeria
Savage,New Zealand
Koffee,Jamaica
Jaywillz,Nigeria
DJ Neptune,Nigeria
Young Jonn,Nigeria
Gyakie,Ghana
WILLOW,USA
The Kid LAROI,Australia
Robinson,New Zealand
Ed Sheeran,UK
Fivio Foreign,USA
Rexx Life Raj,USA
Cruel Santino,Nigeria
Giveon,USA
Ajebo Hustlers,Nigeria
Mayorkun,Nigeria
Lil Frosh,Nigeria
Olamide,Nigeria
Rexxie,Nigeria
Wande Coal,Nigeria
Black Sherif,Ghana
Eltee Skhillz,Nigeria
Naira Marley,Nigeria
Adekunle Gold,Nigeria
Dangbana Republik,Nigeria
Glass Animals,UK
JAE5,UK
melvitto,Nigeria
Tekno,Nigeria
Magixx,Nigeria
Victor AD,Nigeria
DDG,USA
Diamond Platnumz,Tanzania
Falz,Nigeria
Tiwa Savage,Nigeria
Dai Verse,Nigeria
Basketmouth,Nigeria
Busiswa,ZA
Tion Wayne,UK
Seyi Vibez,Nigeria
Dice Ailes,Nigeria
Elley Duh,USA
Ruger,Nigeria
Imagine Dragons,USA
A1 x J1,UK
