rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0GfCR4T6WOErZOw1557ln7","Rema","Holiday","Mavin Global Holdings Ltd / Jonzing World Entertainment",1,-1,1,"647304"
2,"spotify:track:6wuMo4ZR83PhlhXhJ1S3VY","BNXN fka Buju, Kizz Daniel, Seyi Vibez","GWAGWALADA","T.Y.E. / EMPIRE",2,23,2,"636044"
3,"spotify:track:5V9XFfvCG4WP5ZdISOLvaF","Ayra Starr","Sability","Mavin Records",1,1,2,"417643"
4,"spotify:track:6FPXNqKGnd7l61nYZz8EFu","Rema","Reason You","Mavin Global Holdings Ltd / Jonzing World Entertainment",4,-1,1,"341226"
5,"spotify:track:1wADwLSkYhrSmy4vdy6BRn","Omah Lay","soso","KeyQaad",1,2,32,"318766"
6,"spotify:track:7ErtOGQ9DwyQa3lwP77j4u","Ruger","Asiwaju","Columbia",1,3,15,"277914"
7,"spotify:track:79xHOEYZKZEj6fPkmhQboa","Asake","Yoga","YBNL Nation / EMPIRE - Asake",1,4,4,"235675"
8,"spotify:track:50Fnn6VgRmPXcCKKBFUxm0","Spyro","Who Is Your Guy?","North West Sound Recordings",5,5,5,"209451"
9,"spotify:track:5F4OfeowSReF93KcH2eUcG","Young Jonn","Xtra Cool","Chocolate City Music",1,6,22,"199953"
10,"spotify:track:7wMYtt3SEquaep8sWCdQqp","Khaid","Jolie","NEVILLE RECORDS",7,7,5,"197038"
11,"spotify:track:7zhLSGUbneW7Tm3wpp3HjY","Rexxie, Naira Marley, Skiibii","Abracadabra","HitxlabNG / Dvpper Music",4,8,17,"196428"
12,"spotify:track:0AoBY2Y3qs6dtGgOD6c91N","Burna Boy","Alone","Roc Nation/Def Jam/Hollywood",9,11,16,"185936"
13,"spotify:track:5FCS33n2pWeNBFjQpwKaiH","Boy Spyce","Folake","Mavin Records",10,10,4,"180963"
14,"spotify:track:59VpttBOjuFDpOOdqeTDiI","Young Jonn, Olamide","Currency","Chocolate City Music",9,9,3,"176475"
15,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",6,12,10,"167776"
16,"spotify:track:4iL7caaYvGopP9d6hdlMAi","Zinoleesky","Personal","Marlian Music",2,14,10,"165079"
17,"spotify:track:4Mlgf7GD6bbx09N4uxqU3S","Wande Coal, Olamide","Kpe Paso","Starstruck Management / EMPIRE",8,13,4,"160966"
18,"spotify:track:7qcOfwTMGLkzOmC1sIFwfr","Zlatan, Seyi Vibez","Let There Be Light","Zanku Records",6,15,4,"155234"
19,"spotify:track:3IQT2MM49GkXfHF9eemaw5","Victony, Tempoe","Soweto","Encore Recordings",5,20,29,"153364"
20,"spotify:track:5ycsqezujKrwviU3VFhci1","Asake","Terminator","YBNL Nation / EMPIRE",1,16,27,"150621"
21,"spotify:track:5UwxpuGHkwiojKDaPC5ZNu","Asake","Joha","YBNL Nation / EMPIRE",1,18,25,"149299"
