rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
93,"spotify:track:0Uc55PpDGme0CGXr7i1vzD","Seyi Vibez","Bank Of America","Vibez Inc / Dvpper Music",80,124,31,"89555"
94,"spotify:track:4AxG1T6UJJ4xCX4Wz6JDLG","Libianca, Ayra Starr, Omah Lay","People (feat. Ayra Starr & Omah Lay)","5K Records Limited",6,69,14,"88884"
95,"spotify:track:0P2ytSdEAFp0FICrJwnu4Y","Lojay","MOTO","KORATORI RECORDINGS",25,71,18,"87429"
96,"spotify:track:3aJF7HsFOwuUAFOaRMQCxR","JZyNo, Lasmid","Butta My Bread","North West Sound Recordings",96,100,3,"86790"
97,"spotify:track:2jZ2MrAk8iNZk1dsI0Vr5z","Timaya, Bnxn","Cold Outside","DM Records Limited",5,108,69,"85772"
98,"spotify:track:0CUJV0Hh512Ns7U2yGflqt","Asake","Ototo","YBNL Nation / EMPIRE",7,102,40,"84603"
99,"spotify:track:3DfHEgzFDF893oP7lZTGbb","Ruger","Red Flags","Columbia",21,76,30,"84548"
100,"spotify:track:4ztdjZ2t7BVo5DLIFQBdJh","Iniko","Jericho","Columbia",62,74,8,"83855"
101,"spotify:track:0AAMnNeIc6CdnfNU85GwCH","Metro Boomin, Coi Leray","Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","Republic Records",101,-1,1,"83705"
102,"spotify:track:3AqnDZV9TZJU6SfuXK90iT","Mayorkun","For Daddy","SM Entertainment West Africa Limited",39,77,6,"83571"
103,"spotify:track:2HALQBSAvpw1oCzL5QsrT2","Dave, Central Cee","Trojan Horse","Neighbourhood / Live Yours",103,-1,1,"83465"
104,"spotify:track:6oOCGD2Sp9UTcDsuDz8Hdu","Omah Lay","understand","KeyQaad",20,107,69,"81951"
105,"spotify:track:0hW02S9ACVYANz1ica10jH","Magixx, Ayra Starr","Love Don't Cost A Dime (Re-Up)","Mavin Records",21,81,69,"81460"
106,"spotify:track:0B6g379TMw0nYGXA7y5xHz","Metro Boomin, Future, Lil Uzi Vert","All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Republic Records",106,-1,1,"81394"
107,"spotify:track:1xs8bOvm3IzEYmcLJVOc34","Ayra Starr","Rush","Mavin Records",1,70,38,"80977"
108,"spotify:track:2wgvxtggKVzPkl0smF2UzI","Asake","Organise","YBNL Nation / EMPIRE",1,105,40,"78559"
109,"spotify:track:4SLYrL4shv5XZMMbcoM7s2","Rexxie, Naira Marley, Skiibii","Abracadabra","HitxlabNG / Dvpper Music",4,88,32,"78212"
110,"spotify:track:2HYcI74UpbMMxLZ1m7Xnfn","Wizkid","Bad To Me","Starboy/RCA Records",3,91,39,"76644"
111,"spotify:track:59VpttBOjuFDpOOdqeTDiI","Young Jonn, Olamide","Currency","Chocolate City Music",9,99,18,"76502"
112,"spotify:track:7d1aTQlsHMgWmkPywDi7h1","Asake, Olamide","Omo Ope (feat. Olamide)","Asake Music",2,104,69,"76457"
113,"spotify:track:3mxm7OJDadZK1HYN9ZP8gf","Boj, ODUMODUBLVCK","No Option","MOVES Recordings",113,-1,1,"76352"
