rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1KCCxeit3q5wJXxDmRgbl3","Davido","OVER DEM","Columbia",1,64,2,"1257265"
2,"spotify:track:2kaH2Z8ezDUKf6fNw250rZ","Davido, Musa Keys","UNAVAILABLE (feat. Musa Keys)","Columbia",2,188,2,"1217783"
3,"spotify:track:1mk8ZC9OeTZMr8Wy31LqRj","Davido","FEEL","Columbia",3,99,2,"1179534"
4,"spotify:track:5DttTktPy0RMZPz4UNfFm4","Davido, Asake","NO COMPETITION (feat. Asake)","Columbia",4,104,2,"1165059"
5,"spotify:track:7vKXc90NT5WBm3UTT4iTVG","Davido, Fave","KANTE (feat. Fave)","Columbia",5,178,2,"1032038"
6,"spotify:track:14gQ7SmMZeeEC3YAPB5vFw","Davido","AWAY","Columbia",6,168,2,"912975"
7,"spotify:track:0pLx3RsHPmZnD90h2yaL8V","Davido, The Cavemen., Angelique Kidjo","NA MONEY (feat. The Cavemen. & Angélique Kidjo)","Columbia",7,-1,1,"903430"
8,"spotify:track:21hZ5a5marKn0MWxkZ0vYR","Davido, Morravey","IN THE GARDEN (feat. Morravey)","Columbia",8,121,2,"868939"
9,"spotify:track:6Tf5WfhWbg8wRkox9bXHPd","Davido","GODFATHER","Columbia",9,132,2,"811167"
10,"spotify:track:3JziUAJNdpilVeO0yf7ksf","Davido","E PAIN ME","Columbia",10,156,2,"783761"
11,"spotify:track:0SGea6cYbJWWz0MW1MYWlD","Davido","FOR THE ROAD","Columbia",11,-1,1,"734983"
12,"spotify:track:1f5WN3V8AVYyUahqjWogGj","Davido, Logos olori","PICASSO (feat. Logos Olori)","Columbia",12,-1,1,"662857"
13,"spotify:track:40i8KLfHU6DAT0EmZPbnqb","Davido, Dexta Daps","BOP (feat. Dexta Daps)","Columbia",13,191,2,"660948"
14,"spotify:track:1PCUDCPFzwPbYbQqivdMxK","Davido","PRECISION","Columbia",14,-1,1,"632336"
15,"spotify:track:3kvfr5h3oQuJHbkEfg2R3U","Davido, Skepta","U (JUJU) (feat. Skepta)","Columbia",15,-1,1,"621084"
16,"spotify:track:0i3xWOhlLCCk5L2KpSX3DG","Davido","LCND","Columbia",16,-1,1,"582487"
17,"spotify:track:0Em4eY10PGyiBlmjWxcav3","Adekunle Gold, Zinoleesky","Party No Dey Stop","Adekunle Gold PS/ Def Jam",1,2,4,"558113"
18,"spotify:track:1sEIkVGd7fG4K5wFQS6f6y","ODUMODUBLVCK","DECLAN RICE","Varick St",1,1,2,"471368"
19,"spotify:track:6upXA8xqJ5heoVw4nd5Zvs","Asake","2:30","YBNL Nation / EMPIRE",19,-1,1,"453166"
20,"spotify:track:2mqNeI4vUehnhVwSkCrQnR","Davido, Focalistic","Champion Sound","Columbia",19,-1,49,"436409"
21,"spotify:track:6wuMo4ZR83PhlhXhJ1S3VY","BNXN fka Buju, Kizz Daniel, Seyi Vibez","GWAGWALADA","T.Y.E. / EMPIRE",2,5,8,"413068"
22,"spotify:track:0GfCR4T6WOErZOw1557ln7","Rema","Holiday","Mavin Global Holdings Ltd / Jonzing World Entertainment",1,3,7,"390584"
23,"spotify:track:25Kyv5SeEenT0EETpP2hYn","Victony, Don Toliver, Rema, Tempoe","Soweto (with Don Toliver, Rema and Tempoe)","Encore Recordings",4,4,3,"338851"
24,"spotify:track:1wADwLSkYhrSmy4vdy6BRn","Omah Lay","soso","KeyQaad",1,7,38,"309671"
25,"spotify:track:1tOp1bXhT9tvydSAGDHdQy","Tiwa Savage, Ayra Starr, Young Jonn","Stamina","We4we/Everything Savage",5,6,4,"293998"
26,"spotify:track:7ErtOGQ9DwyQa3lwP77j4u","Ruger","Asiwaju","Columbia",1,8,21,"284019"
27,"spotify:track:7qxtOyjZ2zSaxBPH8fLyNi","Khaid, Boy Spyce","Carry Me Go","NEVILLE RECORDS",8,10,4,"223426"
28,"spotify:track:76mICRITD4cOg5KnqH9f3s","Ayra Starr","Sability","Mavin Records",1,11,8,"218602"
29,"spotify:track:5F4OfeowSReF93KcH2eUcG","Young Jonn","Xtra Cool","Chocolate City Music",1,13,28,"212483"
30,"spotify:track:5ycsqezujKrwviU3VFhci1","Asake","Terminator","YBNL Nation / EMPIRE",1,19,33,"201153"
31,"spotify:track:1lrHmP6m1Qcmhwlg2yrjdU","Joeboy","Body & Soul","emPawa Africa Limited",11,18,11,"195280"
32,"spotify:track:32R7SBDSQmhDM4qUgzTc6z","ODUMODUBLVCK, Zlatan, ECko Miles","PICANTO","Varick St",9,9,20,"193085"
33,"spotify:track:5UwxpuGHkwiojKDaPC5ZNu","Asake","Joha","YBNL Nation / EMPIRE",1,27,31,"185782"
34,"spotify:track:7wMYtt3SEquaep8sWCdQqp","Khaid","Jolie","NEVILLE RECORDS",7,15,11,"171292"
35,"spotify:track:4iL7caaYvGopP9d6hdlMAi","Zinoleesky","Personal","Marlian Music",2,21,16,"167344"
36,"spotify:track:6FPXNqKGnd7l61nYZz8EFu","Rema","Reason You","Mavin Global Holdings Ltd / Jonzing World Entertainment",4,17,7,"167272"
37,"spotify:track:5PtIgP17XrTITTrco3uDOr","Libianca, Ayra Starr, Omah Lay","People (feat. Ayra Starr & Omah Lay)","5K Records Limited",6,12,5,"164362"
